sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab
Instructions,html.Page,0,2022-06-03T11:13:26.554Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,46686.32900000149,form submission,,,48114.5,48113.10000000149,1410095,1417.1000000014901,1426771,48115.43,{},,AS16NO12,23,f,1,0,Psychologie,0,0,0,0,0
Change Background,canvas.Screen,1,2022-06-03T11:13:29.533Z,,,,,2992.951000000001,timeout,,,51093.5,51091712,48098742,48115.20000000298,48115.43,51108381,,,AS16NO12,23,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_0_0_0,2022-06-03T11:13:31.788Z,,,1,AV,2254.926999999996,timeout,,,53348.20000000298,53346613,51091712,51095.20000000298,51108381,53363308,,grey,AS16NO12,23,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_0_0_1,2022-06-03T11:13:31.885Z,,,1,AV,97.60900000000402,timeout,,,53445.400000002235,53444.24,53346613,53348.5,53363308,53460917,,grey,AS16NO12,23,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_0_0_2,2022-06-03T11:13:32.100Z,,,1,AV,197.18300000148884,response,stim_detected,mousedown,53660.20000000298,53658.10000000149,53444.24,53445.5,53460917,53677698,,grey,AS16NO12,23,f,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_0_0,2022-06-03T11:13:32.100Z,,,1,AV,2549.719000001489,completion,,,53661,53658.10000000149,51091712,51095.10000000149,51108381,53677698,,grey,AS16NO12,23,f,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_0,2022-06-03T11:13:32.101Z,,,1,AV,2553.019000002234,,,,53661.800000000745,53661.400000002235,51091712,51093.900000002235,51108381,53677698,,grey,AS16NO12,23,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_1_0_0,2022-06-03T11:13:34.370Z,,,1,AV,2267.7850000000035,timeout,,,55930.20000000298,55928808,53661022,53663.20000000298,53677698,55945483,,grey,AS16NO12,23,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_1_0_1,2022-06-03T11:13:34.471Z,,,1,AV,100.46300000000338,timeout,,,56031.300000000745,56029269,55928808,55930.60000000149,55945483,56045946,,grey,AS16NO12,23,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_1_0_2,2022-06-03T11:13:34.601Z,,,1,AV,114.05399999999645,response,stim_detected,mousedown,56161.60000000149,56160,56029269,56031.900000002235,56045946,56179384,,grey,AS16NO12,23,f,1,0,Psychologie,0,0,0,0,0
