sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab
Instructions,html.Page,0,2022-06-27T16:21:30.238Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,262368.1650000002,form submission,,,264084.1000000001,264082.7000000002,1697854,1705.3000000002794,1714535,264104764,{},,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Change Background,canvas.Screen,1,2022-06-27T16:21:33.247Z,,,,,3004.4009999999544,timeout,,,267093.8000000003,267092492,264071.42,264084.8999999999,264104764,267109165,,,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Fixation,canvas.Screen,2_0_0_0,2022-06-27T16:21:35.051Z,,,1,AV,1804.0470000000205,timeout,,,268897.5,268896514,267092492,267095.3999999999,267109165,268913212,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Stimulus,canvas.Screen,2_0_0_1,2022-06-27T16:21:35.148Z,,,1,AV,97.88400000002002,timeout,,,268994.8000000003,268994418,268896514,268897.8999999999,268913212,269011096,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Reaction,canvas.Screen,2_0_0_2,2022-06-27T16:21:35.435Z,,,1,AV,268.5040000000736,response,stim_detected,mousedown,269281.8000000003,269279.6000000001,268994418,268994.8000000003,269011096,269294535,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Trial,flow.Sequence,2_0_0,2022-06-27T16:21:35.436Z,,,1,AV,2170.435000000114,completion,,,269282.5,269279.6000000001,267092492,267095.3000000003,267109165,269294535,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Frame,canvas.Frame,2_0,2022-06-27T16:21:35.437Z,,,1,AV,2173.6350000003004,,,,269283.1000000001,269282.8000000003,267092492,267094.3000000003,267109165,269294535,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Fixation,canvas.Screen,2_1_0_0,2022-06-27T16:21:37.568Z,,,0,V,2135.50900000002,timeout,,,271414.6000000001,271413361,269277858,269284.7000000002,269294535,271430044,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Stimulus,canvas.Screen,2_1_0_1,2022-06-27T16:21:37.668Z,,,0,V,99.01400000002468,timeout,,,271514.3000000003,271512383,271413361,271414.8999999999,271430044,271529058,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Reaction,canvas.Screen,2_1_0_2,2022-06-27T16:21:37.793Z,,,0,V,108.44199999998091,response,stim_detected,mousedown,271639.7000000002,271637.5,271512383,271514.8999999999,271529058,271646149,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Trial,flow.Sequence,2_1_0,2022-06-27T16:21:37.794Z,,,0,V,2342.9650000000256,completion,,,271640.6000000001,271637.5,269277858,269284.5,269294535,271646149,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Frame,canvas.Frame,2_1,2022-06-27T16:21:37.795Z,,,0,V,2346.3649999999325,,,,271641.2000000002,271640.8999999999,269277858,269283.3999999999,269294535,271646149,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Fixation,canvas.Screen,2_2_0_0,2022-06-27T16:21:39.603Z,,,0,V,1818.521000000008,timeout,,,273449.7000000002,273447987,271629471,271642.8000000003,271646149,273464.67,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Stimulus,canvas.Screen,2_2_0_1,2022-06-27T16:21:39.702Z,,,0,V,99.49900000001071,timeout,,,273548.8000000003,273547491,273447987,273449.8999999999,273464.67,273564169,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Reaction,canvas.Screen,2_2_0_2,2022-06-27T16:21:39.845Z,,,0,V,125.33100000000559,response,stim_detected,mousedown,273691.3999999999,273689.5,273547491,273549.2000000002,273564169,273697551,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Trial,flow.Sequence,2_2_0,2022-06-27T16:21:39.845Z,,,0,V,2043.3510000000242,completion,,,273691.8999999999,273689.5,271629471,271642.6000000001,271646149,273697551,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Frame,canvas.Frame,2_2,2022-06-27T16:21:39.846Z,,,0,V,2045.9510000001173,,,,273692.3999999999,273692.1000000001,271629471,271641.6000000001,271646149,273697551,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Fixation,canvas.Screen,2_3_0_0,2022-06-27T16:21:41.820Z,,,0,V,1984.8340000000317,timeout,,,275666.7000000002,275665706,273680874,273693.7000000002,273697551,275682385,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Stimulus,canvas.Screen,2_3_0_1,2022-06-27T16:21:41.920Z,,,0,V,99.31699999998091,timeout,,,275766.8000000003,275765029,275665706,275667,275682385,275781702,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Reaction,canvas.Screen,2_3_0_2,2022-06-27T16:21:42.044Z,,,0,V,106.69799999991665,response,stim_detected,mousedown,275890.3000000003,275888.3999999999,275765029,275767.1000000001,275781702,275899042,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Trial,flow.Sequence,2_3_0,2022-06-27T16:21:42.044Z,,,0,V,2190.848999999929,completion,,,275890.8999999999,275888.3999999999,273680874,273693.5,273697551,275899042,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Frame,canvas.Frame,2_3,2022-06-27T16:21:42.045Z,,,0,V,2193.4490000000224,,,,275891.3000000003,275891,273680874,273692.6000000001,273697551,275899042,,grey,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
Fixation,canvas.Screen,2_4_0_0,2022-06-27T16:21:43.638Z,,,1,A,1600.7649999999558,timeout,,,277484.8000000003,277483132,275882364,275892.7000000002,275899042,277499807,,black,ED06EC24,59,f,4,2,Immobilienkauffrau,0,0,0,0,0
