sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab
Instructions,html.Page,0,2022-07-04T15:33:25.420Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,113259.98300000005,form submission,,,115045.80000000005,115044.30000000005,1767638,1772.9000000001397,1784317,115058863,{},,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Change Background,canvas.Screen,1,2022-07-04T15:33:28.423Z,,,,,3004.9570000000094,timeout,,,118049.20000000019,118047128,115025509,115046.5,115058863,118063.82,,,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Fixation,canvas.Screen,2_0_0_0,2022-07-04T15:33:30.450Z,,,0,V,2026.9479999999894,timeout,,,120075.80000000005,120074115,118047128,118050.80000000005,118063.82,120090768,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Stimulus,canvas.Screen,2_0_0_1,2022-07-04T15:33:30.556Z,,,0,V,106.07600000000093,timeout,,,120181.70000000019,120180167,120074115,120076.1000000001,120090768,120196844,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Reaction,canvas.Screen,2_0_0_2,2022-07-04T15:33:30.835Z,,,0,V,262.1560000000027,response,stim_detected,mousedown,120461.1000000001,120459,120180167,120182,120196844,120463.65,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Trial,flow.Sequence,2_0_0,2022-07-04T15:33:30.836Z,,,0,V,2395.179999999993,completion,,,120461.80000000005,120459,118047128,118050.6000000001,118063.82,120463.65,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Frame,canvas.Frame,2_0,2022-07-04T15:33:30.837Z,,,0,V,2398.5800000001327,,,,120462.90000000014,120462.40000000014,118047128,118049.6000000001,118063.82,120463.65,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Fixation,canvas.Screen,2_1_0_0,2022-07-04T15:33:32.390Z,,,1,AV,1567.7620000000024,timeout,,,122015.80000000005,122014734,120446973,120464.20000000019,120463.65,122031412,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Stimulus,canvas.Screen,2_1_0_1,2022-07-04T15:33:32.490Z,,,1,AV,100.09300000000803,timeout,,,122116.1000000001,122114827,122014734,122016.1000000001,122031412,122131505,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Reaction,canvas.Screen,2_1_0_2,2022-07-04T15:33:32.679Z,,,1,AV,171.39500000013504,response,stim_detected,mousedown,122304.80000000005,122302.90000000014,122114827,122116.6000000001,122131505,122314.9,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Trial,flow.Sequence,2_1_0,2022-07-04T15:33:32.680Z,,,1,AV,1839.2500000001455,completion,,,122305.90000000014,122302.90000000014,120446973,120464,120463.65,122314.9,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Frame,canvas.Frame,2_1,2022-07-04T15:33:32.680Z,,,1,AV,1842.550000000192,,,,122306.5,122306.20000000019,120446973,120463.1000000001,120463.65,122314.9,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Fixation,canvas.Screen,2_2_0_0,2022-07-04T15:33:35.126Z,,,1,AV,2452.5109999999986,timeout,,,124752,124750728,122298223,122307.90000000014,122314.9,124767411,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Stimulus,canvas.Screen,2_2_0_1,2022-07-04T15:33:35.225Z,,,1,AV,98.95800000001327,timeout,,,124851.1000000001,124849693,124750728,124752.40000000014,124767411,124866369,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Reaction,canvas.Screen,2_2_0_2,2022-07-04T15:33:35.365Z,,,1,AV,122.53100000013364,response,stim_detected,mousedown,124990.90000000014,124988.90000000014,124849693,124851.40000000014,124866369,125000047,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Trial,flow.Sequence,2_2_0,2022-07-04T15:33:35.365Z,,,1,AV,2674.0000000001455,completion,,,124991.5,124988.90000000014,122298223,122307.70000000019,122314.9,125000047,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Frame,canvas.Frame,2_2,2022-07-04T15:33:35.366Z,,,1,AV,2676.700000000099,,,,124992,124991.6000000001,122298223,122306.90000000014,122314.9,125000047,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Fixation,canvas.Screen,2_3_0_0,2022-07-04T15:33:37.827Z,,,1,AV,2468.0420000000013,timeout,,,127453.1000000001,127451413,124983.37,124993.20000000019,125000047,127468089,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Stimulus,canvas.Screen,2_3_0_1,2022-07-04T15:33:37.927Z,,,1,AV,100.70599999999104,timeout,,,127553.1000000001,127552115,127451413,127453.40000000014,127468089,127568795,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Reaction,canvas.Screen,2_3_0_2,2022-07-04T15:33:38.068Z,,,1,AV,123.10500000014144,response,stim_detected,mousedown,127694,127691.90000000014,127552115,127553.40000000014,127568795,127701885,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Trial,flow.Sequence,2_3_0,2022-07-04T15:33:38.068Z,,,1,AV,2691.8530000001338,completion,,,127694.5,127691.90000000014,124983.37,124993.1000000001,125000047,127701885,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Frame,canvas.Frame,2_3,2022-07-04T15:33:38.069Z,,,1,AV,2694.6530000001803,,,,127694.90000000014,127694.70000000019,124983.37,124992.20000000019,125000047,127701885,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Fixation,canvas.Screen,2_4_0_0,2022-07-04T15:33:40.512Z,,,1,A,2452.0020000000077,timeout,,,130138.20000000019,130137207,127685208,127696.20000000019,127701885,130153887,,black,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Stimulus,canvas.Screen,2_4_0_1,2022-07-04T15:33:40.611Z,,,1,A,98.80199999999604,timeout,,,130237.30000000005,130236017,130137207,130138.40000000014,130153887,130252689,,black,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Reaction,canvas.Screen,2_4_0_2,2022-07-04T15:33:40.754Z,,,1,A,125.11100000004808,response,stim_detected,mousedown,130379.80000000005,130377.80000000005,130236017,130237.6000000001,130252689,130403.65,,black,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Trial,flow.Sequence,2_4_0,2022-07-04T15:33:40.754Z,,,1,A,2675.915000000052,completion,,,130380.40000000014,130377.80000000005,127685208,127696.1000000001,127701885,130403.65,,black,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Frame,canvas.Frame,2_4,2022-07-04T15:33:40.755Z,,,1,A,2678.7150000000984,,,,130380.80000000005,130380.6000000001,127685208,127695.20000000019,127701885,130403.65,,black,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Fixation,canvas.Screen,2_5_0_0,2022-07-04T15:33:43.064Z,,,1,AV,2301.429999999993,timeout,,,132690.1000000001,132688403,130370296,130382.30000000005,130403.65,132705.08,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Stimulus,canvas.Screen,2_5_0_1,2022-07-04T15:33:43.164Z,,,1,AV,100.18600000001607,timeout,,,132790,132788587,132688403,132690.2000000002,132705.08,132805266,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Reaction,canvas.Screen,2_5_0_2,2022-07-04T15:33:43.271Z,,,1,AV,90.23399999999674,response,stim_detected,mousedown,132897,132895.5,132788587,132790.2000000002,132805266,132905284,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Trial,flow.Sequence,2_5_0,2022-07-04T15:33:43.271Z,,,1,AV,2491.850000000006,completion,,,132897.5,132895.5,130370296,130382.1000000001,130403.65,132905284,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Frame,canvas.Frame,2_5,2022-07-04T15:33:43.272Z,,,1,AV,2493.950000000099,,,,132897.90000000014,132897.6000000001,130370296,130381.1000000001,130403.65,132905284,,grey,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Fixation,canvas.Screen,2_6_0_0,2022-07-04T15:33:45.699Z,,,1,A,2435.002999999997,timeout,,,135325.5,135323609,132888607,132899.40000000014,132905284,135340287,,black,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Stimulus,canvas.Screen,2_6_0_1,2022-07-04T15:33:45.799Z,,,1,A,100.12299999999232,timeout,,,135425.40000000014,135423732,135323609,135326,135340287,135440.41,,black,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
Reaction,canvas.Screen,2_6_0_2,2022-07-04T15:33:45.946Z,,,1,A,129.5899999999965,response,stim_detected,mousedown,135571.80000000005,135570,135423732,135425.7000000002,135440.41,135573786,,black,ER26BE31,23,m,1,0,Jura,0,0,0,0,0
