sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab
Instructions,html.Page,0,2022-06-24T12:05:25.665Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,725536.4150000002,form submission,,,727137.1000000001,727135.7000000002,1582612,1586,1599285,727154743,{},,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Change Background,canvas.Screen,1,2022-06-24T12:05:28.670Z,,,,,3001.7909999999683,timeout,,,730142,730139858,727121389,727137.8000000003,727154743,730156534,,,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_0_0_0,2022-06-24T12:05:30.705Z,,,1,AV,2034.951000000001,timeout,,,732176.7000000002,732174807,730139858,730143.6000000001,730156534,732191485,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_0_0_1,2022-06-24T12:05:30.804Z,,,1,AV,99.87300000002142,timeout,,,732276,732274681,732174807,732177.1000000001,732191485,732291358,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_0_0_2,2022-06-24T12:05:31.150Z,,,1,AV,328.8420000001788,response,stim_detected,mousedown,732622.2000000002,732620.2000000002,732274681,732276.1000000001,732291358,732625002,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_0_0,2022-06-24T12:05:31.151Z,,,1,AV,2463.666000000201,completion,,,732623,732620.2000000002,730139858,730143.6000000001,730156534,732625002,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_0,2022-06-24T12:05:31.152Z,,,1,AV,2466.666000000201,,,,732623.7000000002,732623.2000000002,730139858,730142.6000000001,730156534,732625002,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_1_0_0,2022-06-24T12:05:32.839Z,,,0,V,1700.701000000001,timeout,,,734310.8000000003,734309029,732608325,732625,732625002,734325703,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_1_0_1,2022-06-24T12:05:32.939Z,,,0,V,100.63300000003073,timeout,,,734410.7000000002,734409656,734309029,734311.2000000002,734325703,734426336,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_1_0_2,2022-06-24T12:05:33.306Z,,,0,V,349.864000000176,response,stim_detected,mousedown,734777.8000000003,734776.2000000002,734409656,734411.2000000002,734426336,734793174,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_1_0,2022-06-24T12:05:33.306Z,,,0,V,2151.1980000002077,completion,,,734778.6000000001,734776.2000000002,732608325,732624.9000000004,732625002,734793174,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_1,2022-06-24T12:05:33.307Z,,,0,V,2153.798000000301,,,,734779.1000000001,734778.8000000003,732608325,732624,732625002,734793174,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_2_0_0,2022-06-24T12:05:35.623Z,,,1,A,2317.1119999999646,timeout,,,737094.9000000004,737093615,734776497,734780.7000000002,734793174,737110286,,black,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_2_0_1,2022-06-24T12:05:35.724Z,,,1,A,101.04399999999441,timeout,,,737195.9000000004,737194653,737093615,737095.2000000002,737110286,737211.33,,black,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_2_0_2,2022-06-24T12:05:36.090Z,,,1,A,348.8700000002282,response,stim_detected,mousedown,737561.8000000003,737560.2000000002,737194653,737196.1000000001,737211.33,737578359,,black,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_2_0,2022-06-24T12:05:36.091Z,,,1,A,2767.026000000187,completion,,,737563.1000000001,737560.2000000002,734776497,734780.5,734793174,737578359,,black,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_2,2022-06-24T12:05:36.091Z,,,1,A,2770.1260000002803,,,,737563.5,737563.3000000003,734776497,734779.4000000004,734793174,737578359,,black,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_3_0_0,2022-06-24T12:05:38.076Z,,,0,V,1984.561999999918,timeout,,,739547.9000000004,739546244,737561682,737564.9000000004,737578359,739562921,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_3_0_1,2022-06-24T12:05:38.176Z,,,0,V,100.20100000000093,timeout,,,739648,739646445,739546244,739548.2000000002,739562921,739663122,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_3_0_2,2022-06-24T12:05:38.615Z,,,0,V,422.07800000021234,response,stim_detected,mousedown,740086.8000000003,740085.2000000002,739646445,739648.4000000004,739663122,740113368,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_3_0,2022-06-24T12:05:38.615Z,,,0,V,2506.8410000001313,completion,,,740087.1000000001,740085.2000000002,737561682,737564.8000000003,737578359,740113368,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_3,2022-06-24T12:05:38.615Z,,,0,V,2508.9410000002244,,,,740087.5,740087.3000000003,737561682,737563.7000000002,737578359,740113368,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_4_0_0,2022-06-24T12:05:40.228Z,,,1,AV,1601.621999999974,timeout,,,741700,741698307,740080014,740088.5,740113368,741714.99,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_4_0_1,2022-06-24T12:05:40.327Z,,,1,AV,99.47600000002421,timeout,,,741799,741797789,741698307,741700.3000000003,741714.99,741814466,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_4_0_2,2022-06-24T12:05:41.287Z,,,1,AV,942.7340000001714,response,stim_detected,mousedown,742759,742757.2000000002,741797789,741799.2000000002,741814466,742765122,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_4_0,2022-06-24T12:05:41.287Z,,,1,AV,2643.8320000001695,completion,,,742759.5,742757.2000000002,740080014,740088.4000000004,740113368,742765122,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_4,2022-06-24T12:05:41.288Z,,,1,AV,2646.2320000000764,,,,742759.8000000003,742759.6000000001,740080014,740087.6000000001,740113368,742765122,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_5_0_0,2022-06-24T12:05:42.812Z,,,0,V,1534,timeout,,,744284.3000000003,744282447,742748445,742761,742765122,744299122,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_5_0_1,2022-06-24T12:05:42.912Z,,,0,V,100.39300000004005,timeout,,,744384.3000000003,744382838,744282447,744284.7000000002,744299122,744399515,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_5_0_2,2022-06-24T12:05:43.132Z,,,0,V,203.58500000007916,response,stim_detected,mousedown,744604.6000000001,744603.1000000001,744382838,744384.5,744399515,744616.36,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_5_0,2022-06-24T12:05:43.133Z,,,0,V,1837.9780000001192,completion,,,744605,744603.1000000001,742748445,742760.8000000003,742765122,744616.36,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_5,2022-06-24T12:05:43.133Z,,,0,V,1839.9780000001192,,,,744605.2000000002,744605.1000000001,742748445,742760,742765122,744616.36,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_6_0_0,2022-06-24T12:05:45.215Z,,,0,V,2085.817000000039,timeout,,,746687.2000000002,746685491,744599683,744606.5,744616.36,746702177,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_6_0_1,2022-06-24T12:05:45.313Z,,,0,V,98.99300000001676,timeout,,,746785.4000000004,746784.31,746685491,746687.7000000002,746702177,746801.17,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_6_0_2,2022-06-24T12:05:45.672Z,,,0,V,341.03000000014435,response,stim_detected,mousedown,747143.9000000004,747142.2000000002,746784.31,746785.6000000001,746801.17,747151387,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_6_0,2022-06-24T12:05:45.672Z,,,0,V,2525.8400000002002,completion,,,747144.3000000003,747142.2000000002,744599683,744606.4000000004,744616.36,747151387,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_6,2022-06-24T12:05:45.673Z,,,0,V,2528.140000000014,,,,747144.7000000002,747144.5,744599683,744605.5,744616.36,747151387,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_7_0_0,2022-06-24T12:05:47.633Z,,,1,AV,1968.9070000000065,timeout,,,749105.3000000003,749103609,747134.71,747145.9000000004,747151387,749120294,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_7_0_1,2022-06-24T12:05:47.732Z,,,1,AV,99.03700000001118,timeout,,,749204.4000000004,749202655,749103609,749105.5,749120294,749219331,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_7_0_2,2022-06-24T12:05:47.909Z,,,1,AV,160.6689999999944,response,stim_detected,mousedown,749381.5,749380,749202655,749204.6000000001,749219331,749386249,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_7_0,2022-06-24T12:05:47.910Z,,,1,AV,2228.613000000012,completion,,,749381.9000000004,749380,747134.71,747145.8000000003,747151387,749386249,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_7,2022-06-24T12:05:47.910Z,,,1,AV,2230.613000000012,,,,749382.2000000002,749382,747134.71,747144.9000000004,747151387,749386249,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_8_0_0,2022-06-24T12:05:49.934Z,,,0,V,2035.1110000000335,timeout,,,751406.4000000004,751404679,749369572,749383.4000000004,749386249,751421.36,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_8_0_1,2022-06-24T12:05:50.033Z,,,0,V,99.51800000004005,timeout,,,751505.5,751504202,751404679,751406.6000000001,751421.36,751520878,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_8_0_2,2022-06-24T12:05:50.234Z,,,0,V,160.12199999997392,response,stim_detected,mousedown,751706.3000000003,751681,751504202,751505.7000000002,751520878,751721155,,grey,PH24AA18,24,m,1,0,Psychologie,0,0,0,0,0
