sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab
Instructions,html.Page,0,2022-06-10T16:09:04.055Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.115 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,94103.34899999962,form submission,,,98573.5,98572.09999999963,4452072,4462.199999999721,4468751,98581412,{},,RD28KI25,21,f,1,0,Psychologie,0,0,0,0,0
Change Background,canvas.Screen,1,2022-06-10T16:09:07.050Z,,,,,3001.5580000000045,timeout,,,101568.5,101566292,98548038,98574.19999999972,98581412,101582.97,,,RD28KI25,21,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_0_0_0,2022-06-10T16:09:08.627Z,,,0,V,1577.8179999999993,timeout,,,103145.5,103144141,101566292,101570.09999999963,101582.97,103160788,,grey,RD28KI25,21,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_0_0_1,2022-06-10T16:09:08.734Z,,,0,V,106.49099999999453,timeout,,,103252.29999999981,103250602,103144141,103145.8999999999,103160788,103267279,,grey,RD28KI25,21,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_0_0_2,2022-06-10T16:09:09.047Z,,,0,V,295.8209999996325,response,stim_detected,mousedown,103565.19999999972,103563.09999999963,103250602,103252.69999999972,103267279,103567515,,grey,RD28KI25,21,f,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_0_0,2022-06-10T16:09:09.047Z,,,0,V,1980.1299999996263,completion,,,103565.8999999999,103563.09999999963,101566292,101570,101582.97,103567515,,grey,RD28KI25,21,f,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_0,2022-06-10T16:09:09.048Z,,,0,V,1983.2299999997194,,,,103566.59999999963,103566.19999999972,101566292,101569,101582.97,103567515,,grey,RD28KI25,21,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_1_0_0,2022-06-10T16:09:11.253Z,,,0,V,2219.395000000004,timeout,,,105771.3999999999,105770224,103550838,103568,103567515,105786.91,,grey,RD28KI25,21,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_1_0_1,2022-06-10T16:09:11.351Z,,,0,V,98.82099999999627,timeout,,,105869.79999999981,105869054,105770224,105771.69999999972,105786.91,105885731,,grey,RD28KI25,21,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_1_0_2,2022-06-10T16:09:11.502Z,,,0,V,133.3689999996277,response,stim_detected,mousedown,106020.79999999981,106019.09999999963,105869054,105870.09999999963,105885731,106035791,,grey,RD28KI25,21,f,1,0,Psychologie,0,0,0,0,0
