sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab
Instructions,html.Page,0,2022-06-03T12:49:51.515Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,46446.00300000298,form submission,,,48045.5,48044.20000000298,1581521,1589.800000000745,1598197,48062.2,{},,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Change Background,canvas.Screen,1,2022-06-03T12:49:54.519Z,,,,,3002.5120000000024,timeout,,,51050.10000000149,51048029,48028842,48046.20000000298,48062.2,51064712,,,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Fixation,canvas.Screen,2_0_0_0,2022-06-03T12:49:56.735Z,,,1,AV,2215.868999999999,timeout,,,53265.900000002235,53263.91,51048029,51051.5,51064712,53280581,,grey,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Stimulus,canvas.Screen,2_0_0_1,2022-06-03T12:49:56.835Z,,,1,AV,101.4780000000028,timeout,,,53366,53365383,53263.91,53266.300000000745,53280581,53382059,,grey,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Reaction,canvas.Screen,2_0_0_2,2022-06-03T12:49:56.998Z,,,1,AV,144.24100000074395,response,stim_detected,mousedown,53528.5,53526.300000000745,53365383,53366.10000000149,53382059,53532286,,grey,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Trial,flow.Sequence,2_0_0,2022-06-03T12:49:56.999Z,,,1,AV,2461.5880000007455,completion,,,53529.300000000745,53526.300000000745,51048029,51051.400000002235,51064712,53532286,,grey,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Frame,canvas.Frame,2_0,2022-06-03T12:49:56.999Z,,,1,AV,2464.8880000014906,,,,53530,53529.60000000149,51048029,51050.400000002235,51064712,53532286,,grey,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Fixation,canvas.Screen,2_1_0_0,2022-06-03T12:49:58.737Z,,,1,A,1751.201000000001,timeout,,,55267.800000000745,55266.22,53515609,53531.300000000745,53532286,55283487,,black,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Stimulus,canvas.Screen,2_1_0_1,2022-06-03T12:49:58.838Z,,,1,A,100.08599999999569,timeout,,,55368.800000000745,55366892,55266.22,55268.20000000298,55283487,55383573,,black,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Reaction,canvas.Screen,2_1_0_2,2022-06-03T12:49:59.023Z,,,1,A,168.02700000149343,response,stim_detected,mousedown,55553.400000002235,55551.60000000149,55366892,55369.300000000745,55383573,55566996,,black,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Trial,flow.Sequence,2_1_0,2022-06-03T12:49:59.024Z,,,1,A,2019.31400000149,completion,,,55554.400000002235,55551.60000000149,53515609,53531.300000000745,53532286,55566996,,black,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Frame,canvas.Frame,2_1,2022-06-03T12:49:59.024Z,,,1,A,2022.31400000149,,,,55555,55554.60000000149,53515609,53530.300000000745,53532286,55566996,,black,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Fixation,canvas.Screen,2_2_0_0,2022-06-03T12:50:00.839Z,,,1,AV,1817.5509999999995,timeout,,,57370,57367872,55550319,55557.10000000149,55566996,57384547,,grey,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Stimulus,canvas.Screen,2_2_0_1,2022-06-03T12:50:00.939Z,,,1,AV,100.45900000000256,timeout,,,57469.900000002235,57468328,57367872,57370.300000000745,57384547,57485006,,grey,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Reaction,canvas.Screen,2_2_0_2,2022-06-03T12:50:01.075Z,,,1,AV,119.29400000074384,response,stim_detected,mousedown,57606,57604.300000000745,57468328,57470.300000000745,57485006,57618331,,grey,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
Trial,flow.Sequence,2_2_0,2022-06-03T12:50:01.076Z,,,1,AV,2037.3040000007459,completion,,,57606.70000000298,57604.300000000745,55550319,55556.900000002235,55566996,57618331,,grey,UT01KI10,26,m,5,2,freier Autor,0,0,0,0,0
