sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab
Instructions,html.Page,0,2022-06-24T11:35:02.790Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,3432.6949999999533,form submission,,,4829.399999999907,4828.699999999953,1379329,1385.7999999998137,1396005,4831512,{},,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Change Background,canvas.Screen,1,2022-06-24T11:35:05.781Z,,,,,3003.1850000000004,timeout,,,7820.09999999986,7818011,4814837,4829.899999999907,4831512,7834697,,,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_0_0_0,2022-06-24T11:35:07.515Z,,,1,AV,1734.1270000000004,timeout,,,9554.199999999953,9552.14,7818011,7821.59999999986,7834697,9568824,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_0_0_1,2022-06-24T11:35:07.613Z,,,1,AV,99.41399999999885,timeout,,,9652.399999999907,9651561,9552.14,9554.399999999907,9568824,9668238,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_0_0_2,2022-06-24T11:35:07.855Z,,,1,AV,224.36199999986093,response,stim_detected,mousedown,9894.699999999953,9892.59999999986,9651561,9652.5,9668238,9901683,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_0_0,2022-06-24T11:35:07.856Z,,,1,AV,2057.90299999986,completion,,,9895.199999999953,9892.59999999986,7818011,7821.5,7834697,9901683,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_0,2022-06-24T11:35:07.856Z,,,1,AV,2060.7029999999068,,,,9895.799999999814,9895.399999999907,7818011,7820.5,7834697,9901683,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_1_0_0,2022-06-24T11:35:10.266Z,,,0,V,2418.3409999999985,timeout,,,12305.699999999953,12303346,9885006,9897,9901683,12320024,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_1_0_1,2022-06-24T11:35:10.366Z,,,0,V,100.10800000000017,timeout,,,12405.699999999953,12403452,12303346,12305.899999999907,12320024,12420132,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_1_0_2,2022-06-24T11:35:10.560Z,,,0,V,177.3680000000004,response,stim_detected,mousedown,12599.299999999814,12597.5,12403452,12406.199999999953,12420132,12603497,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_1_0,2022-06-24T11:35:10.560Z,,,0,V,2695.816999999999,completion,,,12600.09999999986,12597.5,9885006,9896.899999999907,9901683,12603497,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_1,2022-06-24T11:35:10.561Z,,,0,V,2698.5169999999525,,,,12600.59999999986,12600.199999999953,9885006,9896,9901683,12603497,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_2_0_0,2022-06-24T11:35:12.418Z,,,0,V,1868.9670000000006,timeout,,,14457.199999999953,14455777,12586.82,12601.899999999907,12603497,14472464,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_2_0_1,2022-06-24T11:35:12.516Z,,,0,V,98.4940000000006,timeout,,,14555.199999999953,14554285,14455777,14457.5,14472464,14570958,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_2_0_2,2022-06-24T11:35:12.674Z,,,0,V,140.54199999999946,response,stim_detected,mousedown,14713.399999999907,14711.5,14554285,14555.5,14570958,14721617,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_2_0,2022-06-24T11:35:12.674Z,,,0,V,2108.0030000000006,completion,,,14713.899999999907,14711.5,12586.82,12601.699999999953,12603497,14721617,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_2,2022-06-24T11:35:12.675Z,,,0,V,2110.5030000000006,,,,14714.299999999814,14714,12586.82,12600.799999999814,12603497,14721617,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_3_0_0,2022-06-24T11:35:15.036Z,,,1,A,2368.7559999999994,timeout,,,17075.299999999814,17073692,14704.94,14715.59999999986,14721617,17090373,,black,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_3_0_1,2022-06-24T11:35:15.135Z,,,1,A,99.33699999999953,timeout,,,17174.199999999953,17173034,17073692,17075.5,17090373,17189.71,,black,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_3_0_2,2022-06-24T11:35:15.336Z,,,1,A,182.5899999998146,response,stim_detected,mousedown,17375.59999999986,17372.299999999814,17173034,17174.399999999907,17189.71,17406708,,black,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_3_0,2022-06-24T11:35:15.336Z,,,1,A,2650.6829999998135,completion,,,17375.899999999907,17372.299999999814,14704.94,14715.5,14721617,17406708,,black,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_3,2022-06-24T11:35:15.337Z,,,1,A,2654383,,,,17376.299999999814,17376,14704.94,14714.5,14721617,17406708,,black,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_4_0_0,2022-06-24T11:35:17.337Z,,,1,AV,1985.117000000002,timeout,,,19376.59999999986,19375144,17373354,17377.399999999907,17406708,19391825,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_4_0_1,2022-06-24T11:35:17.437Z,,,1,AV,99.72099999999773,timeout,,,19476.399999999907,19474868,19375144,19377,19391825,19491546,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_4_0_2,2022-06-24T11:35:17.590Z,,,1,AV,135.8539999999084,response,stim_detected,mousedown,19629.899999999907,19627.399999999907,19474868,19476.59999999986,19491546,19641555,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_4_0,2022-06-24T11:35:17.591Z,,,1,AV,2220.691999999908,completion,,,19630.299999999814,19627.399999999907,17373354,17377.199999999953,17406708,19641555,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_4,2022-06-24T11:35:17.591Z,,,1,AV,2223.691999999908,,,,19630.699999999953,19630.399999999907,17373354,17376.399999999907,17406708,19641555,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_5_0_0,2022-06-24T11:35:19.405Z,,,1,AV,1818.4939999999988,timeout,,,21444.5,21443366,19624878,19632,19641555,21460049,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_5_0_1,2022-06-24T11:35:19.504Z,,,1,AV,99.03399999999965,timeout,,,21543.699999999953,21542409,21443366,21444.799999999814,21460049,21559083,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_5_0_2,2022-06-24T11:35:19.646Z,,,1,AV,125.41700000000128,response,stim_detected,mousedown,21686,21684.5,21542409,21543.899999999907,21559083,21692937,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_5_0,2022-06-24T11:35:19.647Z,,,1,AV,2042.9449999999997,completion,,,21686.399999999907,21684.5,19624878,19631.699999999953,19641555,21692937,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_5,2022-06-24T11:35:19.647Z,,,1,AV,2045.04499999986,,,,21686.799999999814,21686.59999999986,19624878,19630.799999999814,19641555,21692937,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_6_0_0,2022-06-24T11:35:21.273Z,,,1,AV,1634.895999999997,timeout,,,23312.5,23311151,21676.26,21688.09999999986,21692937,23327833,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_6_0_1,2022-06-24T11:35:21.372Z,,,1,AV,99.12000000000262,timeout,,,23411.59999999986,23410.28,23311151,23313,23327833,23426953,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_6_0_2,2022-06-24T11:35:21.533Z,,,1,AV,144.44699999990553,response,stim_detected,mousedown,23573.09999999986,23571.399999999907,23410.28,23411.899999999907,23426953,23577552,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_6_0,2022-06-24T11:35:21.534Z,,,1,AV,1878.4629999999052,completion,,,23573.5,23571.399999999907,21676.26,21688,21692937,23577552,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_6,2022-06-24T11:35:21.534Z,,,1,AV,1880.6629999998586,,,,23573.799999999814,23573.59999999986,21676.26,21686.899999999907,21692937,23577552,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Fixation,canvas.Screen,2_7_0_0,2022-06-24T11:35:23.156Z,,,1,AV,1633.6929999999993,timeout,,,25195.59999999986,25194574,23560875,23574.899999999907,23577552,25211245,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Stimulus,canvas.Screen,2_7_0_1,2022-06-24T11:35:23.257Z,,,1,AV,100.88899999999921,timeout,,,25296.59999999986,25295454,25194574,25195.899999999907,25211245,25312134,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Reaction,canvas.Screen,2_7_0_2,2022-06-24T11:35:23.416Z,,,1,AV,142.16599999981554,response,stim_detected,mousedown,25456,25454.299999999814,25295454,25296.799999999814,25312134,25462099,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Trial,flow.Sequence,2_7_0,2022-06-24T11:35:23.417Z,,,1,AV,1876.747999999814,completion,,,25456.299999999814,25454.299999999814,23560875,23574.799999999814,23577552,25462099,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
Frame,canvas.Frame,2_7,2022-06-24T11:35:23.417Z,,,1,AV,1878.9480000000003,,,,25456.699999999953,25456.5,23560875,23574,23577552,25462099,,grey,XXXXIRXX,26,f,1,0,Psychologie,0,0,0,0,0
