sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab,,pre_stim
Instructions,html.Page,0,2022-07-04T16:56:57.666Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,122729735,form,submission,,,124849.79999999981,124848.5,2102089,2111.4000000003725,2118765,124850.77,{},,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,
Change,Background,canvas.Screen,1,2022-07-04T16:57:00.654Z,,,,,3001.4159999999974,timeout,,,127837.40000000037,127835514,124834093,124850.70000000019,124850.77,127852186,,,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,
Fixation,canvas.Screen,2_0_0_0,2022-07-04T16:57:02.588Z,,,1,A,1935.4119999999966,timeout,,,129772.20000000019,129770.92,127835514,127839,127852186,129787598,,black,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Stimulus,canvas.Screen,2_0_0_1,2022-07-04T16:57:02.688Z,,,1,A,100.0060000000085,timeout,,,129872,129870925,129770.92,129772.5,129787598,129887604,,black,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Reaction,canvas.Screen,2_0_0_2,2022-07-04T16:57:03.057Z,,,1,A,351.2960000003659,response,stim_detected,mousedown,130241.20000000019,130238.90000000037,129870925,129872.40000000037,129887604,130254448,,black,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,0
Trial,flow.Sequence,2_0_0,2022-07-04T16:57:03.058Z,,,1,A,2386.714000000371,completion,,,130241.90000000037,130238.90000000037,127835514,127839,127852186,130254448,,black,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Frame,canvas.Frame,2_0,2022-07-04T16:57:03.059Z,,,1,A,2390.113999999812,,,,130242.59999999963,130242.29999999981,127835514,127837.79999999981,127852186,130254448,,black,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Fixation,canvas.Screen,2_1_0_0,2022-07-04T16:57:05.057Z,,,1,A,2001.4049999999988,timeout,,,132240.2000000002,132239175,130237771,130243.79999999981,130254448,132255853,,black,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Stimulus,canvas.Screen,2_1_0_1,2022-07-04T16:57:05.157Z,,,1,A,99.73399999999674,timeout,,,132340.5,132338912,132239175,132240.5,132255853,132355587,,black,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Reaction,canvas.Screen,2_1_0_2,2022-07-04T16:57:05.359Z,,,1,A,185.01299999962794,response,stim_detected,mousedown,132542.2999999998,132540.59999999963,132338912,132341,132355587,132556022,,black,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,A
Trial,flow.Sequence,2_1_0,2022-07-04T16:57:05.360Z,,,1,A,2286.1519999996235,completion,,,132543.2999999998,132540.59999999963,130237771,130243.70000000019,130254448,132556022,,black,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Frame,canvas.Frame,2_1,2022-07-04T16:57:05.360Z,,,1,A,2289.051999999996,,,,132543.90000000037,132543.5,130237771,130242.90000000037,130254448,132556022,,black,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Fixation,canvas.Screen,2_2_0_0,2022-07-04T16:57:07.626Z,,,1,AV,2268.228000000003,timeout,,,134809.40000000037,134807572,132539345,132545.2999999998,132556022,134824.25,,grey,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Stimulus,canvas.Screen,2_2_0_1,2022-07-04T16:57:07.726Z,,,1,AV,99.7960000000021,timeout,,,134909.40000000037,134907.37,134807572,134809.7000000002,134824.25,134924046,,grey,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Reaction,canvas.Screen,2_2_0_2,2022-07-04T16:57:07.856Z,,,1,AV,113.55399999962538,response,stim_detected,mousedown,135039.2000000002,135037.59999999963,134907.37,134909.7000000002,134924046,135041.02,,grey,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,A
Trial,flow.Sequence,2_2_0,2022-07-04T16:57:07.856Z,,,1,AV,2481.5779999996303,completion,,,135039.7999999998,135037.59999999963,132539345,132545.09999999963,132556022,135041.02,,grey,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Frame,canvas.Frame,2_2,2022-07-04T16:57:07.857Z,,,1,AV,2483.978000000003,,,,135040.2999999998,135040,132539345,132544.2999999998,132556022,135041.02,,grey,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Fixation,canvas.Screen,2_3_0_0,2022-07-04T16:57:09.444Z,,,1,AV,1601.3160000000207,timeout,,,136627.40000000037,136625656,135024343,135041.59999999963,135041.02,136642336,,grey,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
Stimulus,canvas.Screen,2_3_0_1,2022-07-04T16:57:09.543Z,,,1,AV,99.8179999999993,timeout,,,136726.40000000037,136725192,136625656,136627.7000000002,136642336,136742154,,grey,AN02EC04,20,m,2,0,Wirtschaftsinformatik,0,0,0,0,0,,
