sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab,,pre_stim
Instructions,html.Page,0,2022-07-04T16:08:36.262Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,1015946884,form,submission,,,1020057,1020055.3999999999,4091833,4091.600000000093,4108516,1020059758,{},,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,
Change,Background,canvas.Screen,1,2022-07-04T16:08:39.252Z,,,,,3002.508999999962,timeout,,,1023047.7999999998,1023045587,1020043082,1020057.7000000002,1020059758,1023062267,,,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,
Fixation,canvas.Screen,2_0_0_0,2022-07-04T16:08:41.503Z,,,0,V,2251.1149999999907,timeout,,,1025298.5,1025296705,1023045587,1023049.2000000002,1023062267,1025313382,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,
Stimulus,canvas.Screen,2_0_0_1,2022-07-04T16:08:41.602Z,,,0,V,100.19000000006054,timeout,,,1025397.3999999999,1025396454,1025296705,1025298.7999999998,1025313382,1025413572,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,
Reaction,canvas.Screen,2_0_0_2,2022-07-04T16:08:41.883Z,,,0,V,263.1280000001425,response,stim_detected,mousedown,1025678.6000000001,1025676.7000000002,1025396454,1025397.7000000002,1025413572,1025697081,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,0
Trial,flow.Sequence,2_0_0,2022-07-04T16:08:41.884Z,,,0,V,2614.4330000001937,completion,,,1025679.2999999998,1025676.7000000002,1023045587,1023049.2000000002,1023062267,1025697081,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,
Frame,canvas.Frame,2_0,2022-07-04T16:08:41.884Z,,,0,V,2617.2330000000075,,,,1025679.8999999999,1025679.5,1023045587,1023048.1000000001,1023062267,1025697081,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,
Fixation,canvas.Screen,2_1_0_0,2022-07-04T16:08:43.785Z,,,1,A,1899.4370000000345,timeout,,,1027581.1000000001,1027579854,1025680404,1025681.1000000001,1025697081,1027596518,,black,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,
Stimulus,canvas.Screen,2_1_0_1,2022-07-04T16:08:43.888Z,,,1,A,102.30400000000373,timeout,,,1027683.2000000002,1027682141,1027579854,1027581.2999999998,1027596518,1027698822,,black,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,
Reaction,canvas.Screen,2_1_0_2,2022-07-04T16:08:44.487Z,,,1,A,581.7780000000494,response,stim_detected,mousedown,1028282.7999999998,1028280.6000000001,1027682141,1027683.3999999999,1027698822,1028298764,,black,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Trial,flow.Sequence,2_1_0,2022-07-04T16:08:44.488Z,,,1,A,2583.5190000000875,completion,,,1028283.7999999998,1028280.6000000001,1025680404,1025681,1025697081,1028298764,,black,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Frame,canvas.Frame,2_1,2022-07-04T16:08:44.489Z,,,1,A,2586.8189999999013,,,,1028284.2000000002,1028283.8999999999,1025680404,1025680,1025697081,1028298764,,black,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Fixation,canvas.Screen,2_2_0_0,2022-07-04T16:08:46.039Z,,,0,V,1551.362000000081,timeout,,,1029834.7999999998,1029833446,1028282087,1028285.6000000001,1028298764,1029850126,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,A
Stimulus,canvas.Screen,2_2_0_1,2022-07-04T16:08:46.139Z,,,0,V,99.63799999991897,timeout,,,1029934.7000000002,1029933088,1029833446,1029835.1000000001,1029850126,1029949764,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,A
Reaction,canvas.Screen,2_2_0_2,2022-07-04T16:08:46.402Z,,,0,V,245.83600000012666,response,stim_detected,mousedown,1030197.2000000002,1030195.6000000001,1029933088,1029935,1029949764,1030200.11,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,A
Trial,flow.Sequence,2_2_0,2022-07-04T16:08:46.402Z,,,0,V,1896.8360000001267,completion,,,1030197.6000000001,1030195.6000000001,1028282087,1028285.3999999999,1028298764,1030200.11,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,A
Frame,canvas.Frame,2_2,2022-07-04T16:08:46.403Z,,,0,V,1899.3360000001267,,,,1030198.2999999998,1030198.1000000001,1028282087,1028284.5,1028298764,1030200.11,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,A
Fixation,canvas.Screen,2_3_0_0,2022-07-04T16:08:48.457Z,,,0,V,2068.5019999999786,timeout,,,1032252.7000000002,1032251931,1030183432,1030199.7000000002,1030200.11,1032268612,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Stimulus,canvas.Screen,2_3_0_1,2022-07-04T16:08:48.557Z,,,0,V,99.58600000001024,timeout,,,1032352.7999999998,1032351521,1032251931,1032253,1032268612,1032368198,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Reaction,canvas.Screen,2_3_0_2,2022-07-04T16:08:48.746Z,,,0,V,172.40200000011828,response,stim_detected,mousedown,1032542.1000000001,1032540.6000000001,1032351521,1032353,1032368198,1032568354,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Trial,flow.Sequence,2_3_0,2022-07-04T16:08:48.747Z,,,0,V,2340.490000000107,completion,,,1032542.5,1032540.6000000001,1030183432,1030199.5,1030200.11,1032568354,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Frame,canvas.Frame,2_3,2022-07-04T16:08:48.747Z,,,0,V,2342.490000000107,,,,1032542.7999999998,1032542.6000000001,1030183432,1030198.5,1030200.11,1032568354,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Fixation,canvas.Screen,2_4_0_0,2022-07-04T16:08:50.492Z,,,1,AV,1734.6499999999069,timeout,,,1034287.7999999998,1034286325,1032535,1032544.2000000002,1032568354,1034303004,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Stimulus,canvas.Screen,2_4_0_1,2022-07-04T16:08:50.591Z,,,1,AV,99.7390000000596,timeout,,,1034386.8999999999,1034386067,1034286325,1034288.2000000002,1034303004,1034402743,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Reaction,canvas.Screen,2_4_0_2,2022-07-04T16:08:50.749Z,,,1,AV,139.85700000007637,response,stim_detected,mousedown,1034544.5,1034542.6000000001,1034386067,1034387.3999999999,1034402743,1034552949,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Trial,flow.Sequence,2_4_0,2022-07-04T16:08:50.749Z,,,1,AV,1974.2460000000428,completion,,,1034545.1000000001,1034542.6000000001,1032535,1032544.1000000001,1032568354,1034552949,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Frame,canvas.Frame,2_4,2022-07-04T16:08:50.750Z,,,1,AV,1976.846000000136,,,,1034545.5,1034545.2000000002,1032535,1032543,1032568354,1034552949,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Fixation,canvas.Screen,2_5_0_0,2022-07-04T16:08:52.344Z,,,0,V,1601.8739999999525,timeout,,,1036139.8999999999,1036138138,1034536272,1034546.8999999999,1034552949,1036154823,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Stimulus,canvas.Screen,2_5_0_1,2022-07-04T16:08:52.443Z,,,0,V,99.37800000002608,timeout,,,1036239,1036237.52,1036138138,1036140.2000000002,1036154823,1036254201,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Reaction,canvas.Screen,2_5_0_2,2022-07-04T16:08:52.593Z,,,0,V,133.29899999999907,response,stim_detected,mousedown,1036389,1036387.5,1036237.52,1036239.2000000002,1036254201,1036404237,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Trial,flow.Sequence,2_5_0,2022-07-04T16:08:52.594Z,,,0,V,1834.5509999999776,completion,,,1036389.3999999999,1036387.5,1034536272,1034546.7000000002,1034552949,1036404237,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Frame,canvas.Frame,2_5,2022-07-04T16:08:52.594Z,,,0,V,1836.5509999999776,,,,1036389.7999999998,1036389.5,1034536272,1034545.7999999998,1034552949,1036404237,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Fixation,canvas.Screen,2_6_0_0,2022-07-04T16:08:54.945Z,,,1,A,2352.0779999999795,timeout,,,1038741.1000000001,1038739634,1036387.56,1036390.7999999998,1036404237,1038756315,,black,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Stimulus,canvas.Screen,2_6_0_1,2022-07-04T16:08:55.044Z,,,1,A,99.53900000010617,timeout,,,1038840.1000000001,1038839177,1038739634,1038741.6000000001,1038756315,1038855854,,black,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Reaction,canvas.Screen,2_6_0_2,2022-07-04T16:08:55.391Z,,,1,A,329.6459999999497,response,stim_detected,mousedown,1039187.1000000001,1039185.5,1038839177,1038840.2000000002,1038855854,1039189.43,,black,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Trial,flow.Sequence,2_6_0,2022-07-04T16:08:55.392Z,,,1,A,2781.2630000000354,completion,,,1039187.5,1039185.5,1036387.56,1036390.7999999998,1036404237,1039189.43,,black,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Frame,canvas.Frame,2_6,2022-07-04T16:08:55.392Z,,,1,A,2783.3630000001285,,,,1039187.7999999998,1039187.6000000001,1036387.56,1036390,1036404237,1039189.43,,black,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
Fixation,canvas.Screen,2_7_0_0,2022-07-04T16:08:57.329Z,,,1,AV,1951.5879999999888,timeout,,,1041125.1000000001,1041124338,1039172753,1039189,1039189.43,1041141018,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,A
Stimulus,canvas.Screen,2_7_0_1,2022-07-04T16:08:57.429Z,,,1,AV,99.71699999994598,timeout,,,1041225.1000000001,1041224058,1041124338,1041125.3999999999,1041141018,1041240735,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,A
Reaction,canvas.Screen,2_7_0_2,2022-07-04T16:08:57.565Z,,,1,AV,117.76500000001397,response,stim_detected,mousedown,1041360.2000000002,1041358.5,1041224058,1041225.2999999998,1041240735,1041374248,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,A
Trial,flow.Sequence,2_7_0,2022-07-04T16:08:57.565Z,,,1,AV,2169.069999999949,completion,,,1041360.6000000001,1041358.5,1039172753,1039188.8999999999,1039189.43,1041374248,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,A
Frame,canvas.Frame,2_7,2022-07-04T16:08:57.565Z,,,1,AV,2171.3699999997625,,,,1041360.8999999999,1041360.7999999998,1039172753,1039188,1039189.43,1041374248,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,A
Fixation,canvas.Screen,2_8_0_0,2022-07-04T16:08:59.747Z,,,1,AV,2183.829999999958,timeout,,,1043542.2000000002,1043541407,1041357571,1041362.1000000001,1041374248,1043558078,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Stimulus,canvas.Screen,2_8_0_1,2022-07-04T16:08:59.848Z,,,1,AV,101.0339999999851,timeout,,,1043643.2000000002,1043642432,1043541407,1043542.3999999999,1043558078,1043659112,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Reaction,canvas.Screen,2_8_0_2,2022-07-04T16:08:59.995Z,,,1,AV,130.3880000000354,response,stim_detected,mousedown,1043790.8999999999,1043789.5,1043642432,1043643.3999999999,1043659112,1043792.52,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Trial,flow.Sequence,2_8_0,2022-07-04T16:08:59.996Z,,,1,AV,2415.2519999999786,completion,,,1043791.2999999998,1043789.5,1041357571,1041362,1041374248,1043792.52,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Frame,canvas.Frame,2_8,2022-07-04T16:08:59.996Z,,,1,AV,2417.2519999999786,,,,1043791.7000000002,1043791.5,1041357571,1041361.1000000001,1041374248,1043792.52,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Fixation,canvas.Screen,2_9_0_0,2022-07-04T16:09:01.783Z,,,0,V,1801.3469999999506,timeout,,,1045578.5,1045577188,1043775843,1043792.7999999998,1043792.52,1045593867,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Stimulus,canvas.Screen,2_9_0_1,2022-07-04T16:09:01.883Z,,,0,V,100.07500000006985,timeout,,,1045678.3999999999,1045677243,1045577188,1045578.7999999998,1045593867,1045693942,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Reaction,canvas.Screen,2_9_0_2,2022-07-04T16:09:02.088Z,,,0,V,188.55799999996088,response,stim_detected,mousedown,1045884.1000000001,1045882.5,1045677243,1045678.7000000002,1045693942,1045893913,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Trial,flow.Sequence,2_9_0,2022-07-04T16:09:02.089Z,,,0,V,2089.9799999999814,completion,,,1045884.5,1045882.5,1043775843,1043792.7000000002,1043792.52,1045893913,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Frame,canvas.Frame,2_9,2022-07-04T16:09:02.089Z,,,0,V,2092.0800000000745,,,,1045884.7999999998,1045884.6000000001,1043775843,1043791.8999999999,1043792.52,1045893913,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,AV
Fixation,canvas.Screen,2_10_0_0,2022-07-04T16:09:03.934Z,,,0,V,1851.28600000008,timeout,,,1047729.5,1047728521,1045877236,1045886.1000000001,1045893913,1047745199,,grey,EL27SE03,22,f,1,0,Psychologie,0,0,0,0,0,,V
