sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab,,pre_stim
Instructions,html.Page,0,2022-07-18T15:13:02.684Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,878665692,form,submission,,,886000.1,885993.7000000001,7294645,7308.3000000000175,7328008,887512537,{},,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,
Change,Background,canvas.Screen,1,2022-07-18T15:13:07.343Z,,,,,3172.6230000000214,timeout,,,890658.9,890501427,885294496,886000.7000000001,887512537,890685.16,,,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,
Fixation,canvas.Screen,2_0_0_0,2022-07-18T15:13:09.479Z,,,1,AV,2224.777000000002,timeout,,,892795.2999999999,892793352,890501427,890686.6,890685.16,892909937,,grey,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,
Stimulus,canvas.Screen,2_0_0_1,2022-07-18T15:13:09.685Z,,,1,AV,106.44900000002235,timeout,,,893001.1,892999709,892793352,892795.6,892909937,893016386,,grey,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,
Reaction,canvas.Screen,2_0_0_2,2022-07-18T15:13:10.050Z,,,1,AV,348.31400000001304,response,stim_detected,mousedown,893366.6,893364.7000000001,892999709,893001.4,893016386,893383269,,grey,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,0
Trial,flow.Sequence,2_0_0,2022-07-18T15:13:10.051Z,,,1,AV,2679.5400000000373,completion,,,893367.1,893364.7000000001,890501427,890686.4,890685.16,893383269,,grey,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,
Frame,canvas.Frame,2_0,2022-07-18T15:13:10.051Z,,,1,AV,2682.1399999998976,,,,893367.7000000001,893367.2999999999,890501427,890659.4,890685.16,893383269,,grey,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,
Fixation,canvas.Screen,2_1_0_0,2022-07-18T15:13:12.234Z,,,1,A,2182.2110000000102,timeout,,,895549.7999999999,895548819,893366592,893368.9,893383269,895565.48,,black,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,
Stimulus,canvas.Screen,2_1_0_1,2022-07-18T15:13:12.336Z,,,1,A,102.5570000000298,timeout,,,895652.4999999999,895651.36,895548819,895549.9999999999,895565.48,895668037,,black,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,
Reaction,canvas.Screen,2_1_0_2,2022-07-18T15:13:13.015Z,,,1,A,661.6630000000587,response,stim_detected,mousedown,896331.4,896329.7000000001,895651.36,895652.9,895668037,896401913,,black,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,AV
Trial,flow.Sequence,2_1_0,2022-07-18T15:13:13.016Z,,,1,A,2946.4310000000987,completion,,,896332.2000000001,896329.7000000001,893366592,893368.7999999999,893383269,896401913,,black,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,AV
Frame,canvas.Frame,2_1,2022-07-18T15:13:13.016Z,,,1,A,2949.131000000052,,,,896332.7000000001,896332.4,893366592,893367.7999999999,893383269,896401913,,black,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,AV
Fixation,canvas.Screen,2_2_0_0,2022-07-18T15:13:15.404Z,,,1,A,2333.100000000093,timeout,,,898719.7000000001,898718345,896318528,896333.9999999999,896401913,898735013,,black,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,A
Stimulus,canvas.Screen,2_2_0_1,2022-07-18T15:13:15.506Z,,,1,A,101.89199999999255,timeout,,,898821.7999999999,898820227,898718345,898720.2000000001,898735013,898836905,,black,HA25HA07,36,f,5,0,Psychologie,0,0,0,0,0,,A
