sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab,,pre_stim
Instructions,html.Page,0,2022-07-15T15:17:57.390Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":667,""scroll_height"":588,""window_innerWidth"":667,""window_innerHeight"":636,""devicePixelRatio"":1}",,,,451912.7540000001,form,submission,,,456194.80000000005,456193.20000000007,4247084,4257.300000000047,4280446,456209253,{},,ND07NU02,26,f,4,0,Psychologie,0,0,0,0,0,
Change,Background,canvas.Screen,1,2022-07-15T15:18:00.390Z,,,,,3001.0389999999898,timeout,,,459195,459193615,456175857,456195.5,456209253,459210292,,,ND07NU02,26,f,4,0,Psychologie,0,0,0,0,0,
Fixation,canvas.Screen,2_0_0_0,2022-07-15T15:18:01.958Z,,,1,AV,1567.7099999999627,timeout,,,460762.70000000007,460761325,459193615,459196.5,459210292,460778002,,grey,ND07NU02,26,f,4,0,Psychologie,0,0,0,0,0,,
Stimulus,canvas.Screen,2_0_0_1,2022-07-15T15:18:02.065Z,,,1,AV,108.09799999999814,timeout,,,460870.1,460869431,460761325,460763.1,460778002,460886.1,,grey,ND07NU02,26,f,4,0,Psychologie,0,0,0,0,0,,
Reaction,canvas.Screen,2_0_0_2,2022-07-15T15:18:02.460Z,,,1,AV,376.5,response,stim_detected,mousedown,461264.6,461262.6,460869431,460870.30000000005,460886.1,461278316,,grey,ND07NU02,26,f,4,0,Psychologie,0,0,0,0,0,,0
Trial,flow.Sequence,2_0_0,2022-07-15T15:18:02.460Z,,,1,AV,2052.307999999961,completion,,,461265.1,461262.6,459193615,459196.4,459210292,461278316,,grey,ND07NU02,26,f,4,0,Psychologie,0,0,0,0,0,,
Frame,canvas.Frame,2_0,2022-07-15T15:18:02.461Z,,,1,AV,2055.1080000000075,,,,461265.70000000007,461265.4,459193615,459195.4,459210292,461278316,,grey,ND07NU02,26,f,4,0,Psychologie,0,0,0,0,0,,
Fixation,canvas.Screen,2_1_0_0,2022-07-15T15:18:04.376Z,,,0,V,1917.7339999999967,timeout,,,463180.70000000007,463179374,461261639,461266.80000000005,461278316,463196.05,,grey,ND07NU02,26,f,4,0,Psychologie,0,0,0,0,0,,
Stimulus,canvas.Screen,2_1_0_1,2022-07-15T15:18:04.476Z,,,0,V,100.31400000001304,timeout,,,463280.9,463279685,463179374,463180.9,463196.05,463296364,,grey,ND07NU02,26,f,4,0,Psychologie,0,0,0,0,0,,
Reaction,canvas.Screen,2_1_0_2,2022-07-15T15:18:05.002Z,,,0,V,509.1359999999986,response,stim_detected,mousedown,463807.20000000007,463805.5,463279685,463281.30000000005,463296364,463813341,,grey,ND07NU02,26,f,4,0,Psychologie,0,0,0,0,0,,AV
