sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab,,pre_stim
Instructions,html.Page,0,2022-06-27T15:33:31.005Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,795791.2939999999,form,submission,,,797168.2999999999,797166.7999999999,1358823,1363.600000000035,1375506,797188379,{},,NG06HE06,33,m,4,0,Umweltgeografie,0,0,0,0,0,
Change,Background,canvas.Screen,1,2022-06-27T15:33:34.011Z,,,,,3001.0810000000056,timeout,,,800174.2000000001,800172791,797155029,797169.0000000001,797188379,800189.46,,,NG06HE06,33,m,4,0,Umweltgeografie,0,0,0,0,0,
Fixation,canvas.Screen,2_0_0_0,2022-06-27T15:33:35.633Z,,,1,AV,1621.3640000000596,timeout,,,801795.9,801794.12,800172791,800175.7999999999,800189.46,801810824,,grey,NG06HE06,33,m,4,0,Umweltgeografie,0,0,0,0,0,,
Stimulus,canvas.Screen,2_0_0_1,2022-06-27T15:33:35.729Z,,,1,AV,97.43599999998696,timeout,,,801892.2000000001,801891583,801794.12,801796.2999999999,801810824,801908.26,,grey,NG06HE06,33,m,4,0,Umweltgeografie,0,0,0,0,0,,
Reaction,canvas.Screen,2_0_0_2,2022-06-27T15:33:35.953Z,,,1,AV,206.14000000001397,response,stim_detected,mousedown,802116.5000000001,802114.4,801891583,801892.2999999999,801908.26,802141859,,grey,NG06HE06,33,m,4,0,Umweltgeografie,0,0,0,0,0,,0
Trial,flow.Sequence,2_0_0,2022-06-27T15:33:35.954Z,,,1,AV,1924.9400000000605,completion,,,802117.4,802114.4,800172791,800175.7000000001,800189.46,802141859,,grey,NG06HE06,33,m,4,0,Umweltgeografie,0,0,0,0,0,,
Frame,canvas.Frame,2_0,2022-06-27T15:33:35.955Z,,,1,AV,1928.140000000014,,,,802117.9,802117.6,800172791,800174.7000000001,800189.46,802141859,,grey,NG06HE06,33,m,4,0,Umweltgeografie,0,0,0,0,0,,
Fixation,canvas.Screen,2_1_0_0,2022-06-27T15:33:37.848Z,,,1,AV,1884.1030000000028,timeout,,,804011.0000000001,804009288,802108503,802119.2999999999,802141859,804025962,,grey,NG06HE06,33,m,4,0,Umweltgeografie,0,0,0,0,0,,
Stimulus,canvas.Screen,2_1_0_1,2022-06-27T15:33:37.948Z,,,1,AV,100.58599999989383,timeout,,,804111.0000000001,804109869,804009288,804011.2999999999,804025962,804126548,,grey,NG06HE06,33,m,4,0,Umweltgeografie,0,0,0,0,0,,
Reaction,canvas.Screen,2_1_0_2,2022-06-27T15:33:38.078Z,,,1,AV,112.95200000016484,response,stim_detected,mousedown,804241.1,804239.5000000001,804109869,804111.6,804126548,804259904,,grey,NG06HE06,33,m,4,0,Umweltgeografie,0,0,0,0,0,,AV
