sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab,,pre_stim
Instructions,html.Page,0,2022-07-04T16:44:20.024Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,1413582094,form,submission,,,1415571.7999999998,1415571,1972227,1981.5,1988906,1415578229,{},,WE27EC21,24,f,4,0,"Sustainability, Society and the Environment",0,0,0,0,0,
Change,Background,canvas.Screen,1,2022-07-04T16:44:23.008Z,,,,,2992.118999999948,timeout,,,1418555.8999999994,1418553661,1415561579,1415572.2999999998,1415578229,1418570348,,,WE27EC21,24,f,4,0,"Sustainability, Society and the Environment",0,0,0,0,0,
Fixation,canvas.Screen,2_0_0_0,2022-07-04T16:44:24.601Z,,,0,V,1593.7439999999478,timeout,,,1420148.6999999993,1420147443,1418553661,1418557.3999999994,1418570348,1420164092,,grey,WE27EC21,24,f,4,0,"Sustainability, Society and the Environment",0,0,0,0,0,,
Stimulus,canvas.Screen,2_0_0_1,2022-07-04T16:44:24.707Z,,,0,V,106.28900000010617,timeout,,,1420254.5,1420253627,1420147443,1420149,1420164092,1420270381,,grey,WE27EC21,24,f,4,0,"Sustainability, Society and the Environment",0,0,0,0,0,,
Reaction,canvas.Screen,2_0_0_2,2022-07-04T16:44:25.017Z,,,0,V,292.4189999997616,response,stim_detected,mousedown,1420564.8999999994,1420562.7999999998,1420253627,1420254.7999999998,1420270381,1420570567,,grey,WE27EC21,24,f,4,0,"Sustainability, Society and the Environment",0,0,0,0,0,,0
Trial,flow.Sequence,2_0_0,2022-07-04T16:44:25.018Z,,,0,V,1992.4519999998156,completion,,,1420565.3999999994,1420562.7999999998,1418553661,1418557.2999999998,1418570348,1420570567,,grey,WE27EC21,24,f,4,0,"Sustainability, Society and the Environment",0,0,0,0,0,,
Frame,canvas.Frame,2_0,2022-07-04T16:44:25.019Z,,,0,V,1995.3519999992568,,,,1420566,1420565.6999999993,1418553661,1418556.3999999994,1418570348,1420570567,,grey,WE27EC21,24,f,4,0,"Sustainability, Society and the Environment",0,0,0,0,0,,
Fixation,canvas.Screen,2_1_0_0,2022-07-04T16:44:26.592Z,,,1,AV,1584.436999999918,timeout,,,1422139.5,1422138326,1420553.89,1420567.2999999998,1420570567,1422155004,,grey,WE27EC21,24,f,4,0,"Sustainability, Society and the Environment",0,0,0,0,0,,
Stimulus,canvas.Screen,2_1_0_1,2022-07-04T16:44:26.692Z,,,1,AV,100.09400000004098,timeout,,,1422239.7999999998,1422238.42,1422138326,1422139.7999999998,1422155004,1422255098,,grey,WE27EC21,24,f,4,0,"Sustainability, Society and the Environment",0,0,0,0,0,,
Reaction,canvas.Screen,2_1_0_2,2022-07-04T16:44:26.924Z,,,1,AV,214.6019999992568,response,stim_detected,mousedown,1422471.5,1422469.6999999993,1422238.42,1422240.1999999993,1422255098,1422488509,,grey,WE27EC21,24,f,4,0,"Sustainability, Society and the Environment",0,0,0,0,0,,V
