sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-04T15:24:44.307Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,454630.84599999996,form submission,,,457709,457707.69999999995,3043.491,3049.8000000000466,3076.854,457732.422,{},
Change Background,canvas.Screen,1,2022-07-04T15:24:47.318Z,,,,,3002.142999999982,timeout,,,460719.90000000014,460717.886,457699.068,457709.69999999995,457732.422,460734.565,,
Fixation,canvas.Screen,2_0_0_0,2022-07-04T15:24:49.415Z,,,1,AV,2097.5869999999995,timeout,,,462817,462815.489,460717.886,460721,460734.565,462832.152,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-07-04T15:24:49.519Z,,,1,AV,103.57199999998556,timeout,,,462920.6000000001,462919.047,462815.489,462817.40000000014,462832.152,462935.724,,grey
Reaction,canvas.Screen,2_0_0_2,2022-07-04T15:24:49.778Z,,,1,AV,242.77600000001257,response,stim_detected,mousedown,463180.5,463178.5,462919.047,462920.90000000014,462935.724,463185.995,,grey
Trial,flow.Sequence,2_0_0,2022-07-04T15:24:49.779Z,,,1,AV,2443.9349999999977,completion,,,463181.19999999995,463178.5,460717.886,460720.90000000014,460734.565,463185.995,,grey
Frame,canvas.Frame,2_0,2022-07-04T15:24:49.780Z,,,1,AV,2446.9349999999977,,,,463181.90000000014,463181.5,460717.886,460720.19999999995,460734.565,463185.995,,grey
Fixation,canvas.Screen,2_1_0_0,2022-07-04T15:24:51.453Z,,,0,V,1684.2550000000047,timeout,,,464854.90000000014,464853.574,463169.318,463183.1000000001,463185.995,464870.25,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-07-04T15:24:51.553Z,,,0,V,100.39899999997579,timeout,,,464955.19999999995,464953.969,464853.574,464855.19999999995,464870.25,464970.649,,grey
Reaction,canvas.Screen,2_1_0_2,2022-07-04T15:24:51.766Z,,,0,V,194.85100000002421,response,stim_detected,mousedown,465168.40000000014,465165.5,464953.969,464955.69999999995,464970.649,465187.382,,grey
