sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-04T16:56:57.666Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,122729.735,form submission,,,124849.79999999981,124848.5,2102.089,2111.4000000003725,2118.765,124850.77,{},
Change Background,canvas.Screen,1,2022-07-04T16:57:00.654Z,,,,,3001.4159999999974,timeout,,,127837.40000000037,127835.514,124834.093,124850.70000000019,124850.77,127852.186,,
Fixation,canvas.Screen,2_0_0_0,2022-07-04T16:57:02.588Z,,,1,A,1935.4119999999966,timeout,,,129772.20000000019,129770.92,127835.514,127839,127852.186,129787.598,,black
Stimulus,canvas.Screen,2_0_0_1,2022-07-04T16:57:02.688Z,,,1,A,100.0060000000085,timeout,,,129872,129870.925,129770.92,129772.5,129787.598,129887.604,,black
Reaction,canvas.Screen,2_0_0_2,2022-07-04T16:57:03.057Z,,,1,A,351.2960000003659,response,stim_detected,mousedown,130241.20000000019,130238.90000000037,129870.925,129872.40000000037,129887.604,130254.448,,black
Trial,flow.Sequence,2_0_0,2022-07-04T16:57:03.058Z,,,1,A,2386.714000000371,completion,,,130241.90000000037,130238.90000000037,127835.514,127839,127852.186,130254.448,,black
Frame,canvas.Frame,2_0,2022-07-04T16:57:03.059Z,,,1,A,2390.113999999812,,,,130242.59999999963,130242.29999999981,127835.514,127837.79999999981,127852.186,130254.448,,black
Fixation,canvas.Screen,2_1_0_0,2022-07-04T16:57:05.057Z,,,1,A,2001.4049999999988,timeout,,,132240.2000000002,132239.175,130237.771,130243.79999999981,130254.448,132255.853,,black
Stimulus,canvas.Screen,2_1_0_1,2022-07-04T16:57:05.157Z,,,1,A,99.73399999999674,timeout,,,132340.5,132338.912,132239.175,132240.5,132255.853,132355.587,,black
Reaction,canvas.Screen,2_1_0_2,2022-07-04T16:57:05.359Z,,,1,A,185.01299999962794,response,stim_detected,mousedown,132542.2999999998,132540.59999999963,132338.912,132341,132355.587,132556.022,,black
Trial,flow.Sequence,2_1_0,2022-07-04T16:57:05.360Z,,,1,A,2286.1519999996235,completion,,,132543.2999999998,132540.59999999963,130237.771,130243.70000000019,130254.448,132556.022,,black
Frame,canvas.Frame,2_1,2022-07-04T16:57:05.360Z,,,1,A,2289.051999999996,,,,132543.90000000037,132543.5,130237.771,130242.90000000037,130254.448,132556.022,,black
Fixation,canvas.Screen,2_2_0_0,2022-07-04T16:57:07.626Z,,,1,AV,2268.228000000003,timeout,,,134809.40000000037,134807.572,132539.345,132545.2999999998,132556.022,134824.25,,grey
Stimulus,canvas.Screen,2_2_0_1,2022-07-04T16:57:07.726Z,,,1,AV,99.7960000000021,timeout,,,134909.40000000037,134907.37,134807.572,134809.7000000002,134824.25,134924.046,,grey
Reaction,canvas.Screen,2_2_0_2,2022-07-04T16:57:07.856Z,,,1,AV,113.55399999962538,response,stim_detected,mousedown,135039.2000000002,135037.59999999963,134907.37,134909.7000000002,134924.046,135041.02,,grey
Trial,flow.Sequence,2_2_0,2022-07-04T16:57:07.856Z,,,1,AV,2481.5779999996303,completion,,,135039.7999999998,135037.59999999963,132539.345,132545.09999999963,132556.022,135041.02,,grey
Frame,canvas.Frame,2_2,2022-07-04T16:57:07.857Z,,,1,AV,2483.978000000003,,,,135040.2999999998,135040,132539.345,132544.2999999998,132556.022,135041.02,,grey
Fixation,canvas.Screen,2_3_0_0,2022-07-04T16:57:09.444Z,,,1,AV,1601.3160000000207,timeout,,,136627.40000000037,136625.656,135024.343,135041.59999999963,135041.02,136642.336,,grey
Stimulus,canvas.Screen,2_3_0_1,2022-07-04T16:57:09.543Z,,,1,AV,99.8179999999993,timeout,,,136726.40000000037,136725.192,136625.656,136627.7000000002,136642.336,136742.154,,grey
Reaction,canvas.Screen,2_3_0_2,2022-07-04T16:57:09.695Z,,,1,AV,134.34599999999045,response,stim_detected,mousedown,136878.40000000037,136876.5,136725.192,136726.7000000002,136742.154,136892.247,,grey
Trial,flow.Sequence,2_3_0,2022-07-04T16:57:09.695Z,,,1,AV,1835.4800000000105,completion,,,136879.09999999963,136876.5,135024.343,135041.59999999963,135041.02,136892.247,,grey
Frame,canvas.Frame,2_3,2022-07-04T16:57:09.696Z,,,1,AV,1838.1800000001967,,,,136879.5,136879.2000000002,135024.343,135040.59999999963,135041.02,136892.247,,grey
Fixation,canvas.Screen,2_4_0_0,2022-07-04T16:57:11.243Z,,,1,A,1549.9189999999944,timeout,,,138426.5,138425.499,136875.57,136880.7000000002,136892.247,138442.166,,black
Stimulus,canvas.Screen,2_4_0_1,2022-07-04T16:57:11.345Z,,,1,A,101.26300000000629,timeout,,,138528.40000000037,138526.75,138425.499,138426.7999999998,138442.166,138543.429,,black
Reaction,canvas.Screen,2_4_0_2,2022-07-04T16:57:11.658Z,,,1,A,296.0709999999963,response,stim_detected,mousedown,138841.40000000037,138839.5,138526.75,138528.90000000037,138543.429,138843.525,,black
Trial,flow.Sequence,2_4_0,2022-07-04T16:57:11.658Z,,,1,A,1947.252999999997,completion,,,138841.90000000037,138839.5,136875.57,136880.59999999963,136892.247,138843.525,,black
Frame,canvas.Frame,2_4,2022-07-04T16:57:11.659Z,,,1,A,1949.752999999997,,,,138842.2000000002,138842,136875.57,136879.7000000002,136892.247,138843.525,,black
Fixation,canvas.Screen,2_5_0_0,2022-07-04T16:57:14.063Z,,,0,V,2418.342000000004,timeout,,,141246.5,141245.014,138826.848,138843.2999999998,138843.525,141261.867,,grey
Stimulus,canvas.Screen,2_5_0_1,2022-07-04T16:57:14.163Z,,,0,V,100.0679999999993,timeout,,,141346.59999999963,141345.257,141245.014,141246.90000000037,141261.867,141361.935,,grey
Reaction,canvas.Screen,2_5_0_2,2022-07-04T16:57:14.301Z,,,0,V,121.46500000037486,response,stim_detected,mousedown,141485.2000000002,141483.40000000037,141345.257,141346.90000000037,141361.935,141495.332,,grey
Trial,flow.Sequence,2_5_0,2022-07-04T16:57:14.302Z,,,0,V,2639.8750000003783,completion,,,141485.7000000002,141483.40000000037,138826.848,138843.2000000002,138843.525,141495.332,,grey
Frame,canvas.Frame,2_5,2022-07-04T16:57:14.302Z,,,0,V,2642.3750000003783,,,,141486.09999999963,141485.90000000037,138826.848,138842.40000000037,138843.525,141495.332,,grey
Fixation,canvas.Screen,2_6_0_0,2022-07-04T16:57:16.465Z,,,1,A,2168.3040000000037,timeout,,,143648.7000000002,143646.957,141478.655,141488,141495.332,143663.636,,black
Stimulus,canvas.Screen,2_6_0_1,2022-07-04T16:57:16.564Z,,,1,A,99.87400000001071,timeout,,,143747.7999999998,143746.144,143646.957,143649.2000000002,143663.636,143763.51,,black
Reaction,canvas.Screen,2_6_0_2,2022-07-04T16:57:16.708Z,,,1,A,126.98999999999069,response,stim_detected,mousedown,143892.09999999963,143890.5,143746.144,143748.09999999963,143763.51,143896.926,,black
Trial,flow.Sequence,2_6_0,2022-07-04T16:57:16.709Z,,,1,A,2395.168000000005,completion,,,143892.59999999963,143890.5,141478.655,141487.7999999998,141495.332,143896.926,,black
Frame,canvas.Frame,2_6,2022-07-04T16:57:16.709Z,,,1,A,2397.3680000001914,,,,143893,143892.7000000002,141478.655,141486.2999999998,141495.332,143896.926,,black
Fixation,canvas.Screen,2_7_0_0,2022-07-04T16:57:18.332Z,,,0,V,1634.4659999999858,timeout,,,145515.59999999963,145514.714,143880.249,143894.2000000002,143896.926,145531.392,,grey
Stimulus,canvas.Screen,2_7_0_1,2022-07-04T16:57:18.433Z,,,0,V,100.13800000000629,timeout,,,145616.7000000002,145614.852,145514.714,145515.90000000037,145531.392,145631.53,,grey
Reaction,canvas.Screen,2_7_0_2,2022-07-04T16:57:18.591Z,,,0,V,141.97000000000116,response,stim_detected,mousedown,145775.09999999963,145773.5,145614.852,145617,145631.53,145781.501,,grey
