sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-11T15:16:56.085Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":779,""scroll_height"":560,""window_innerWidth"":779,""window_innerHeight"":608,""devicePixelRatio"":1}",,,,771293.6290000001,form submission,,,777474.8,777473.4,6163.093,6166.399999999994,6179.771,777485.803,{},
Change Background,canvas.Screen,1,2022-07-11T15:16:59.082Z,,,,,3000.466000000015,timeout,,,780471.7000000001,780469.604,777452.449,777475.6,777485.803,780486.269,,
Fixation,canvas.Screen,2_0_0_0,2022-07-11T15:17:00.719Z,,,1,AV,1638.1560000000754,timeout,,,782109.4,782107.725,780469.604,780473.2000000001,780486.269,782124.425,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-07-11T15:17:00.817Z,,,1,AV,97.81399999989662,timeout,,,782206.9,782205.562,782107.725,782109.7000000001,782124.425,782222.239,,grey
Reaction,canvas.Screen,2_0_0_2,2022-07-11T15:17:01.065Z,,,1,AV,231.56100000010338,response,stim_detected,mousedown,782455.1,782453.8,782205.562,782207.2000000001,782222.239,782455.795,,grey
Trial,flow.Sequence,2_0_0,2022-07-11T15:17:01.065Z,,,1,AV,1967.5310000000754,completion,,,782455.3,782453.8,780469.604,780473.1,780486.269,782455.795,,grey
Frame,canvas.Frame,2_0,2022-07-11T15:17:01.066Z,,,1,AV,1969.1310000000522,,,,782455.5,782455.4,780469.604,780472,780486.269,782455.795,,grey
Fixation,canvas.Screen,2_1_0_0,2022-07-11T15:17:03.201Z,,,1,A,2151.19299999997,timeout,,,784591.2000000001,784590.312,782439.118,782456.1,782455.795,784606.988,,black
Stimulus,canvas.Screen,2_1_0_1,2022-07-11T15:17:03.301Z,,,1,A,99.86499999999069,timeout,,,784690.9,784690.179,784590.312,784591.5,784606.988,784706.853,,black
Reaction,canvas.Screen,2_1_0_2,2022-07-11T15:17:03.580Z,,,1,A,261.0470000000205,response,stim_detected,mousedown,784969.8,784967.9,784690.179,784691.1,784706.853,784974.059,,black
Trial,flow.Sequence,2_1_0,2022-07-11T15:17:03.581Z,,,1,A,2512.1049999999814,completion,,,784970.8,784967.9,782439.118,782456.1,782455.795,784974.059,,black
Frame,canvas.Frame,2_1,2022-07-11T15:17:03.581Z,,,1,A,2515.204999999958,,,,784971.4,784971,782439.118,782455.5,782455.795,784974.059,,black
Fixation,canvas.Screen,2_2_0_0,2022-07-11T15:17:05.756Z,,,1,A,2186.3360000000102,timeout,,,787145.8,787143.706,784957.382,784972.8,784974.059,787160.395,,black
Stimulus,canvas.Screen,2_2_0_1,2022-07-11T15:17:05.854Z,,,1,A,98.48399999993853,timeout,,,787243.7000000001,787242.202,787143.706,787146.1,787160.395,787258.879,,black
Reaction,canvas.Screen,2_2_0_2,2022-07-11T15:17:06.077Z,,,1,A,206.02100000006612,response,stim_detected,mousedown,787466.8,787464.9,787242.202,787243.9,787258.879,787475.756,,black
Trial,flow.Sequence,2_2_0,2022-07-11T15:17:06.077Z,,,1,A,2490.841000000015,completion,,,787467.3,787464.9,784957.382,784972.7000000001,784974.059,787475.756,,black
Frame,canvas.Frame,2_2,2022-07-11T15:17:06.078Z,,,1,A,2493.341000000015,,,,787467.6,787467.4,784957.382,784971.8,784974.059,787475.756,,black
Fixation,canvas.Screen,2_3_0_0,2022-07-11T15:17:08.188Z,,,1,AV,2117.561999999918,timeout,,,789577.5,789576.644,787459.079,787468.9,787475.756,789593.318,,grey
Stimulus,canvas.Screen,2_3_0_1,2022-07-11T15:17:08.289Z,,,1,AV,100.38800000003539,timeout,,,789678.5,789677.03,789576.644,789577.8,789593.318,789693.706,,grey
Reaction,canvas.Screen,2_3_0_2,2022-07-11T15:17:08.500Z,,,1,AV,194.2939999999944,response,stim_detected,mousedown,789889.8,789888,789677.03,789678.9,789693.706,789893.958,,grey
Trial,flow.Sequence,2_3_0,2022-07-11T15:17:08.500Z,,,1,AV,2412.243999999948,completion,,,789890.2000000001,789888,787459.079,787468.8,787475.756,789893.958,,grey
Frame,canvas.Frame,2_3,2022-07-11T15:17:08.501Z,,,1,AV,2414.5439999999944,,,,789890.6,789890.3,787459.079,787467.8,787475.756,789893.958,,grey
Fixation,canvas.Screen,2_4_0_0,2022-07-11T15:17:10.607Z,,,1,A,2118.121999999974,timeout,,,791997.2000000001,791995.402,789877.281,789892,789893.958,792012.08,,black
Stimulus,canvas.Screen,2_4_0_1,2022-07-11T15:17:10.707Z,,,1,A,100.09799999999814,timeout,,,792096.6,792095.498,791995.402,791997.5,792012.08,792112.178,,black
Reaction,canvas.Screen,2_4_0_2,2022-07-11T15:17:10.949Z,,,1,A,224.62200000009034,response,stim_detected,mousedown,792338.8,792336.8,792095.498,792096.8,792112.178,792345.558,,black
Trial,flow.Sequence,2_4_0,2022-07-11T15:17:10.949Z,,,1,A,2442.8420000000624,completion,,,792339.2000000001,792336.8,789877.281,789891.8,789893.958,792345.558,,black
Frame,canvas.Frame,2_4,2022-07-11T15:17:10.950Z,,,1,A,2445.3420000000624,,,,792339.5,792339.3,789877.281,789890.9,789893.958,792345.558,,black
Fixation,canvas.Screen,2_5_0_0,2022-07-11T15:17:12.709Z,,,1,AV,1768.5929999999935,timeout,,,794098.5,794097.467,792328.882,792340.7000000001,792345.558,794114.151,,grey
Stimulus,canvas.Screen,2_5_0_1,2022-07-11T15:17:12.809Z,,,1,AV,99.42300000006799,timeout,,,794198.6,794196.896,794097.467,794098.8,794114.151,794213.574,,grey
