sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-06-03T11:13:26.554Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,46686.32900000149,form submission,,,48114.5,48113.10000000149,1410.095,1417.1000000014901,1426.771,48115.43,{},
Change Background,canvas.Screen,1,2022-06-03T11:13:29.533Z,,,,,2992.951000000001,timeout,,,51093.5,51091.712,48098.742,48115.20000000298,48115.43,51108.381,,
Fixation,canvas.Screen,2_0_0_0,2022-06-03T11:13:31.788Z,,,1,AV,2254.926999999996,timeout,,,53348.20000000298,53346.613,51091.712,51095.20000000298,51108.381,53363.308,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-06-03T11:13:31.885Z,,,1,AV,97.60900000000402,timeout,,,53445.400000002235,53444.24,53346.613,53348.5,53363.308,53460.917,,grey
Reaction,canvas.Screen,2_0_0_2,2022-06-03T11:13:32.100Z,,,1,AV,197.18300000148884,response,stim_detected,mousedown,53660.20000000298,53658.10000000149,53444.24,53445.5,53460.917,53677.698,,grey
Trial,flow.Sequence,2_0_0,2022-06-03T11:13:32.100Z,,,1,AV,2549.719000001489,completion,,,53661,53658.10000000149,51091.712,51095.10000000149,51108.381,53677.698,,grey
Frame,canvas.Frame,2_0,2022-06-03T11:13:32.101Z,,,1,AV,2553.019000002234,,,,53661.800000000745,53661.400000002235,51091.712,51093.900000002235,51108.381,53677.698,,grey
Fixation,canvas.Screen,2_1_0_0,2022-06-03T11:13:34.370Z,,,1,AV,2267.7850000000035,timeout,,,55930.20000000298,55928.808,53661.022,53663.20000000298,53677.698,55945.483,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-06-03T11:13:34.471Z,,,1,AV,100.46300000000338,timeout,,,56031.300000000745,56029.269,55928.808,55930.60000000149,55945.483,56045.946,,grey
Reaction,canvas.Screen,2_1_0_2,2022-06-03T11:13:34.601Z,,,1,AV,114.05399999999645,response,stim_detected,mousedown,56161.60000000149,56160,56029.269,56031.900000002235,56045.946,56179.384,,grey
Trial,flow.Sequence,2_1_0,2022-06-03T11:13:34.602Z,,,1,AV,2482.3020000000033,completion,,,56162.400000002235,56160,53661.022,53663,53677.698,56179.384,,grey
Frame,canvas.Frame,2_1,2022-06-03T11:13:34.602Z,,,1,AV,2484.8020000000033,,,,56162.900000002235,56162.5,53661.022,53662.10000000149,53677.698,56179.384,,grey
Fixation,canvas.Screen,2_2_0_0,2022-06-03T11:13:37.040Z,,,1,A,2435.7910000000047,timeout,,,58600.10000000149,58598.492,56162.707,56164.5,56179.384,58615.175,,black
Stimulus,canvas.Screen,2_2_0_1,2022-06-03T11:13:37.139Z,,,1,A,99.25399999999354,timeout,,,58699.70000000298,58697.752,58598.492,58600.20000000298,58615.175,58714.429,,black
Reaction,canvas.Screen,2_2_0_2,2022-06-03T11:13:37.318Z,,,1,A,162.3710000007486,response,stim_detected,mousedown,58878.70000000298,58876.800000000745,58697.752,58700,58714.429,58881.184,,black
Trial,flow.Sequence,2_2_0,2022-06-03T11:13:37.319Z,,,1,A,2697.416000000747,completion,,,58879.20000000298,58876.800000000745,56162.707,56164.300000000745,56179.384,58881.184,,black
Frame,canvas.Frame,2_2,2022-06-03T11:13:37.319Z,,,1,A,2699.916000000747,,,,58879.5,58879.300000000745,56162.707,56163.20000000298,56179.384,58881.184,,black
Fixation,canvas.Screen,2_3_0_0,2022-06-03T11:13:39.191Z,,,1,AV,1884.6370000000024,timeout,,,60750.400000002235,60749.143,58864.507,58880.800000000745,58881.184,60765.821,,grey
Stimulus,canvas.Screen,2_3_0_1,2022-06-03T11:13:39.291Z,,,1,AV,99.81199999999808,timeout,,,60850.20000000298,60848.957,60749.143,60750.5,60765.821,60865.633,,grey
Reaction,canvas.Screen,2_3_0_2,2022-06-03T11:13:39.468Z,,,1,AV,160.16700000074343,response,stim_detected,mousedown,61027.400000002235,61025.800000000745,60848.957,60850.5,60865.633,61049.27,,grey
Trial,flow.Sequence,2_3_0,2022-06-03T11:13:39.469Z,,,1,AV,2144.616000000744,completion,,,61027.800000000745,61025.800000000745,58864.507,58880.70000000298,58881.184,61049.27,,grey
Frame,canvas.Frame,2_3,2022-06-03T11:13:39.469Z,,,1,AV,2146.716000002234,,,,61028.10000000149,61027.900000002235,58864.507,58879.70000000298,58881.184,61049.27,,grey
Fixation,canvas.Screen,2_4_0_0,2022-06-03T11:13:41.426Z,,,1,AV,1951.0840000000026,timeout,,,62985.5,62983.678,61015.916,61029.60000000149,61049.27,63000.354,,grey
