sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-06-24T12:41:18.695Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,1253471.125,form submission,,,1255125.6999999997,1255124.1,1636.296,1640.6999999997206,1652.975,1255138.78,{},
Change Background,canvas.Screen,1,2022-06-24T12:41:21.699Z,,,,,3006.064999999944,timeout,,,1258129.4999999995,1258128.152,1255105.434,1255126.4,1255138.78,1258144.845,,
Fixation,canvas.Screen,2_0_0_0,2022-06-24T12:41:23.414Z,,,1,AV,1714.4520000000484,timeout,,,1259844.1,1259842.626,1258128.152,1258130.9,1258144.845,1259859.297,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-06-24T12:41:23.514Z,,,1,AV,101.55599999986589,timeout,,,1259944.6,1259944.176,1259842.626,1259844.4,1259859.297,1259960.853,,grey
Reaction,canvas.Screen,2_0_0_2,2022-06-24T12:41:23.797Z,,,1,AV,264.5470000000205,response,stim_detected,mousedown,1260227.3000000003,1260225.4,1259944.176,1259944.8000000003,1259960.853,1260244.344,,grey
Trial,flow.Sequence,2_0_0,2022-06-24T12:41:23.798Z,,,1,AV,2080.554999999935,completion,,,1260227.9,1260225.4,1258128.152,1258130.9,1258144.845,1260244.344,,grey
Frame,canvas.Frame,2_0,2022-06-24T12:41:23.798Z,,,1,AV,2083.3549999997485,,,,1260228.4,1260228.1999999997,1258128.152,1258129.8000000003,1258144.845,1260244.344,,grey
Fixation,canvas.Screen,2_1_0_0,2022-06-24T12:41:25.617Z,,,1,A,1818.5370000000112,timeout,,,1262047.4,1262046.198,1260227.667,1260229.6,1260244.344,1262062.881,,black
Stimulus,canvas.Screen,2_1_0_1,2022-06-24T12:41:25.717Z,,,1,A,99.4749999998603,timeout,,,1262147.3000000003,1262145.679,1262046.198,1262047.6999999997,1262062.881,1262162.356,,black
Reaction,canvas.Screen,2_1_0_2,2022-06-24T12:41:25.973Z,,,1,A,239.0439999999944,response,stim_detected,mousedown,1262402.9999999995,1262401.4,1262145.679,1262147.8000000003,1262162.356,1262412.511,,black
Trial,flow.Sequence,2_1_0,2022-06-24T12:41:25.973Z,,,1,A,2157.055999999866,completion,,,1262403.8000000003,1262401.4,1260227.667,1260229.4999999995,1260244.344,1262412.511,,black
Frame,canvas.Frame,2_1,2022-06-24T12:41:25.974Z,,,1,A,2159.6559999994934,,,,1262404.3000000003,1262403.9999999995,1260227.667,1260228.6999999997,1260244.344,1262412.511,,black
Fixation,canvas.Screen,2_2_0_0,2022-06-24T12:41:27.784Z,,,0,V,1817.0439999999944,timeout,,,1264214.4999999995,1264212.884,1262395.834,1262405.6,1262412.511,1264229.555,,grey
Stimulus,canvas.Screen,2_2_0_1,2022-06-24T12:41:27.885Z,,,0,V,100.85499999998137,timeout,,,1264315.4,1264313.733,1264212.884,1264214.9,1264229.555,1264330.41,,grey
Reaction,canvas.Screen,2_2_0_2,2022-06-24T12:41:28.171Z,,,0,V,268.8900000003632,response,stim_detected,mousedown,1264601.1,1264599.3000000003,1264313.733,1264315.8000000003,1264330.41,1264613.942,,grey
Trial,flow.Sequence,2_2_0,2022-06-24T12:41:28.171Z,,,0,V,2186.789000000339,completion,,,1264601.6999999997,1264599.3000000003,1262395.834,1262405.4999999995,1262412.511,1264613.942,,grey
Frame,canvas.Frame,2_2,2022-06-24T12:41:28.172Z,,,0,V,2189.3889999999665,,,,1264601.9999999995,1264601.9,1262395.834,1262404.6,1262412.511,1264613.942,,grey
Fixation,canvas.Screen,2_3_0_0,2022-06-24T12:41:29.736Z,,,0,V,1567.5359999998473,timeout,,,1266166.4,1266164.802,1264597.265,1264603.4999999995,1264613.942,1266181.478,,grey
Stimulus,canvas.Screen,2_3_0_1,2022-06-24T12:41:29.836Z,,,0,V,100.34000000008382,timeout,,,1266266.4,1266265.139,1266164.802,1266166.6999999997,1266181.478,1266281.818,,grey
Reaction,canvas.Screen,2_3_0_2,2022-06-24T12:41:30.067Z,,,0,V,213.58199999993667,response,stim_detected,mousedown,1266496.9999999995,1266495.4,1266265.139,1266266.6999999997,1266281.818,1266498.565,,grey
Trial,flow.Sequence,2_3_0,2022-06-24T12:41:30.067Z,,,0,V,1881.4579999998678,completion,,,1266497.3000000003,1266495.4,1264597.265,1264603.3000000003,1264613.942,1266498.565,,grey
Frame,canvas.Frame,2_3,2022-06-24T12:41:30.067Z,,,0,V,1883.5579999994952,,,,1266497.6,1266497.4999999995,1264597.265,1264602.4,1264613.942,1266498.565,,grey
Fixation,canvas.Screen,2_4_0_0,2022-06-24T12:41:31.571Z,,,1,AV,1518.1480000000447,timeout,,,1268001.6,1268000.031,1266481.888,1266498.8000000003,1266498.565,1268016.713,,grey
Stimulus,canvas.Screen,2_4_0_1,2022-06-24T12:41:31.670Z,,,1,AV,99.4660000000149,timeout,,,1268100.4,1268099.503,1268000.031,1268001.8000000003,1268016.713,1268116.179,,grey
Reaction,canvas.Screen,2_4_0_2,2022-06-24T12:41:31.812Z,,,1,AV,124.12100000027567,response,stim_detected,mousedown,1268242.1,1268240.3000000003,1268099.503,1268100.6999999997,1268116.179,1268249.764,,grey
Trial,flow.Sequence,2_4_0,2022-06-24T12:41:31.812Z,,,1,AV,1741.7350000003353,completion,,,1268242.6,1268240.3000000003,1266481.888,1266498.6999999997,1266498.565,1268249.764,,grey
Frame,canvas.Frame,2_4,2022-06-24T12:41:31.813Z,,,1,AV,1744.1349999997765,,,,1268242.9999999995,1268242.6999999997,1266481.888,1266497.8000000003,1266498.565,1268249.764,,grey
Fixation,canvas.Screen,2_5_0_0,2022-06-24T12:41:34.055Z,,,1,A,2250.9590000000317,timeout,,,1270485.6,1270484.049,1268233.087,1268244.1,1268249.764,1270500.723,,black
Stimulus,canvas.Screen,2_5_0_1,2022-06-24T12:41:34.155Z,,,1,A,100.04700000002049,timeout,,,1270585.6,1270584.096,1270484.049,1270485.9,1270500.723,1270600.77,,black
Reaction,canvas.Screen,2_5_0_2,2022-06-24T12:41:34.305Z,,,1,A,133.53000000026077,response,stim_detected,mousedown,1270735.9,1270734.3000000003,1270584.096,1270585.9999999995,1270600.77,1270751.424,,black
Trial,flow.Sequence,2_5_0,2022-06-24T12:41:34.306Z,,,1,A,2484.536000000313,completion,,,1270736.3000000003,1270734.3000000003,1268233.087,1268243.9999999995,1268249.764,1270751.424,,black
Frame,canvas.Frame,2_5,2022-06-24T12:41:34.306Z,,,1,A,2486.6359999999404,,,,1270736.6,1270736.4,1268233.087,1268243.1,1268249.764,1270751.424,,black
Fixation,canvas.Screen,2_6_0_0,2022-06-24T12:41:36.506Z,,,1,A,2200.931999999797,timeout,,,1272936.6999999997,1272935.682,1270734.747,1270737.9,1270751.424,1272952.356,,black
Stimulus,canvas.Screen,2_6_0_1,2022-06-24T12:41:36.607Z,,,1,A,100.68000000016764,timeout,,,1273037.8000000003,1273036.356,1272935.682,1272937.1999999997,1272952.356,1273053.036,,black
Reaction,canvas.Screen,2_6_0_2,2022-06-24T12:41:36.850Z,,,1,A,225.1639999996405,response,stim_detected,mousedown,1273279.9,1273278.1999999997,1273036.356,1273038.1,1273053.036,1273303.097,,black
Trial,flow.Sequence,2_6_0,2022-06-24T12:41:36.850Z,,,1,A,2526.775999999605,completion,,,1273280.4,1273278.1999999997,1270734.747,1270737.6999999997,1270751.424,1273303.097,,black
Frame,canvas.Frame,2_6,2022-06-24T12:41:36.850Z,,,1,A,2529.075999999419,,,,1273280.6999999997,1273280.4999999995,1270734.747,1270736.9,1270751.424,1273303.097,,black
Fixation,canvas.Screen,2_7_0_0,2022-06-24T12:41:39.077Z,,,0,V,2218.9779999998864,timeout,,,1275506.9999999995,1275505.391,1273269.743,1273281.8000000003,1273303.097,1275522.075,,grey
Stimulus,canvas.Screen,2_7_0_1,2022-06-24T12:41:39.174Z,,,0,V,98.58900000015274,timeout,,,1275604.9,1275603.991,1275505.391,1275507.3000000003,1275522.075,1275620.664,,grey
Reaction,canvas.Screen,2_7_0_2,2022-06-24T12:41:39.474Z,,,0,V,281.6360000001732,response,stim_detected,mousedown,1275903.9,1275902.3000000003,1275603.991,1275605.1,1275620.664,1275921.533,,grey
Trial,flow.Sequence,2_7_0,2022-06-24T12:41:39.474Z,,,0,V,2599.2030000002123,completion,,,1275904.3000000003,1275902.3000000003,1273269.743,1273281.8000000003,1273303.097,1275921.533,,grey
Frame,canvas.Frame,2_7,2022-06-24T12:41:39.474Z,,,0,V,2601.4029999994673,,,,1275904.6999999997,1275904.4999999995,1273269.743,1273280.9,1273303.097,1275921.533,,grey
Fixation,canvas.Screen,2_8_0_0,2022-06-24T12:41:41.294Z,,,1,A,1818.128000000026,timeout,,,1277723.8000000003,1277722.981,1275904.856,1275905.9999999995,1275921.533,1277739.661,,black
Stimulus,canvas.Screen,2_8_0_1,2022-06-24T12:41:41.394Z,,,1,A,99.75799999991432,timeout,,,1277823.9,1277822.742,1277722.981,1277724.1999999997,1277739.661,1277839.419,,black
Reaction,canvas.Screen,2_8_0_2,2022-06-24T12:41:41.611Z,,,1,A,200.7809999997262,response,stim_detected,mousedown,1278041.6999999997,1278040.1999999997,1277822.742,1277824.1999999997,1277839.419,1278056.307,,black
Trial,flow.Sequence,2_8_0,2022-06-24T12:41:41.612Z,,,1,A,2118.6669999996666,completion,,,1278042.1,1278040.1999999997,1275904.856,1275905.9,1275921.533,1278056.307,,black
Frame,canvas.Frame,2_8,2022-06-24T12:41:41.612Z,,,1,A,2120.6669999996666,,,,1278042.4,1278042.1999999997,1275904.856,1275904.8000000003,1275921.533,1278056.307,,black
Fixation,canvas.Screen,2_9_0_0,2022-06-24T12:41:43.995Z,,,1,A,2384.023999999976,timeout,,,1280425.1,1280423.659,1278039.63,1278043.6,1278056.307,1280440.331,,black
Stimulus,canvas.Screen,2_9_0_1,2022-06-24T12:41:44.096Z,,,1,A,100.97999999998137,timeout,,,1280526.1,1280524.633,1280423.659,1280425.4,1280440.331,1280541.311,,black
Reaction,canvas.Screen,2_9_0_2,2022-06-24T12:41:44.241Z,,,1,A,128.88899999973364,response,stim_detected,mousedown,1280671.8000000003,1280670.1999999997,1280524.633,1280526.4,1280541.311,1280674.69,,black
Trial,flow.Sequence,2_9_0,2022-06-24T12:41:44.242Z,,,1,A,2613.892999999691,completion,,,1280672.3000000003,1280670.1999999997,1278039.63,1278043.4999999995,1278056.307,1280674.69,,black
Frame,canvas.Frame,2_9,2022-06-24T12:41:44.242Z,,,1,A,2616.092999999877,,,,1280672.6,1280672.4,1278039.63,1278042.6,1278056.307,1280674.69,,black
Fixation,canvas.Screen,2_10_0_0,2022-06-24T12:41:45.848Z,,,0,V,1618.627000000095,timeout,,,1282278.1,1282276.631,1280658.013,1280673.8000000003,1280674.69,1282293.317,,grey
Stimulus,canvas.Screen,2_10_0_1,2022-06-24T12:41:45.947Z,,,0,V,99.22900000005029,timeout,,,1282377.1,1282375.845,1282276.631,1282278.3000000003,1282293.317,1282392.546,,grey
Reaction,canvas.Screen,2_10_0_2,2022-06-24T12:41:46.322Z,,,0,V,357.5540000000037,response,stim_detected,mousedown,1282751.9,1282750.1,1282375.845,1282377.4,1282392.546,1282759.44,,grey
Trial,flow.Sequence,2_10_0,2022-06-24T12:41:46.322Z,,,0,V,2075.410000000149,completion,,,1282752.4,1282750.1,1280658.013,1280673.6999999997,1280674.69,1282759.44,,grey
Frame,canvas.Frame,2_10,2022-06-24T12:41:46.322Z,,,0,V,2077.80999999959,,,,1282752.8000000003,1282752.4999999995,1280658.013,1280672.8000000003,1280674.69,1282759.44,,grey
Fixation,canvas.Screen,2_11_0_0,2022-06-24T12:41:47.931Z,,,0,V,1617.1829999999609,timeout,,,1284361.3000000003,1284359.95,1282742.763,1282753.9,1282759.44,1284376.623,,grey
Stimulus,canvas.Screen,2_11_0_1,2022-06-24T12:41:48.032Z,,,0,V,100.69800000009127,timeout,,,1284462.3000000003,1284460.643,1284359.95,1284361.4,1284376.623,1284477.321,,grey
Reaction,canvas.Screen,2_11_0_2,2022-06-24T12:41:48.215Z,,,0,V,166.87899999972433,response,stim_detected,mousedown,1284645.6999999997,1284644.1999999997,1284460.643,1284462.4999999995,1284477.321,1284660.699,,grey
Trial,flow.Sequence,2_11_0,2022-06-24T12:41:48.216Z,,,0,V,1884.7599999997765,completion,,,1284646.1,1284644.1999999997,1282742.763,1282753.8000000003,1282759.44,1284660.699,,grey
Frame,canvas.Frame,2_11,2022-06-24T12:41:48.216Z,,,0,V,1886.7599999997765,,,,1284646.4,1284646.1999999997,1282742.763,1282752.9999999995,1282759.44,1284660.699,,grey
Fixation,canvas.Screen,2_12_0_0,2022-06-24T12:41:50.484Z,,,0,V,2285.351000000024,timeout,,,1286914.3000000003,1286912.688,1284644.022,1284647.4999999995,1284660.699,1286946.05,,grey
Stimulus,canvas.Screen,2_12_0_1,2022-06-24T12:41:50.600Z,,,0,V,99.497999999905,timeout,,,1287030.4,1287028.871,1286912.688,1286914.4999999995,1286946.05,1287045.548,,grey
Reaction,canvas.Screen,2_12_0_2,2022-06-24T12:41:50.751Z,,,0,V,134.55200000014156,response,stim_detected,mousedown,1287181.6,1287180.1,1287028.871,1287030.8000000003,1287045.548,1287195.683,,grey
Trial,flow.Sequence,2_12_0,2022-06-24T12:41:50.752Z,,,0,V,2519.401000000071,completion,,,1287182.1,1287180.1,1284644.022,1284647.4,1284660.699,1287195.683,,grey
Frame,canvas.Frame,2_12,2022-06-24T12:41:50.752Z,,,0,V,2521.5009999996983,,,,1287182.4,1287182.1999999997,1284644.022,1284646.6,1284660.699,1287195.683,,grey
Fixation,canvas.Screen,2_13_0_0,2022-06-24T12:41:52.419Z,,,1,AV,1669.2590000000782,timeout,,,1288849.4,1288848.25,1287179.006,1287183.6,1287195.683,1288864.942,,grey
Stimulus,canvas.Screen,2_13_0_1,2022-06-24T12:41:52.517Z,,,1,AV,98.35899999993853,timeout,,,1288947.4,1288946.626,1288848.25,1288849.6999999997,1288864.942,1288963.301,,grey
Reaction,canvas.Screen,2_13_0_2,2022-06-24T12:41:52.729Z,,,1,AV,194.6989999995567,response,stim_detected,mousedown,1289159.6,1289157.9999999995,1288946.626,1288947.6999999997,1288963.301,1289163.721,,grey
