sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-06-27T16:21:30.238Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,262368.1650000002,form submission,,,264084.1000000001,264082.7000000002,1697.854,1705.3000000002794,1714.535,264104.764,{},
Change Background,canvas.Screen,1,2022-06-27T16:21:33.247Z,,,,,3004.4009999999544,timeout,,,267093.8000000003,267092.492,264071.42,264084.8999999999,264104.764,267109.165,,
Fixation,canvas.Screen,2_0_0_0,2022-06-27T16:21:35.051Z,,,1,AV,1804.0470000000205,timeout,,,268897.5,268896.514,267092.492,267095.3999999999,267109.165,268913.212,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-06-27T16:21:35.148Z,,,1,AV,97.88400000002002,timeout,,,268994.8000000003,268994.418,268896.514,268897.8999999999,268913.212,269011.096,,grey
Reaction,canvas.Screen,2_0_0_2,2022-06-27T16:21:35.435Z,,,1,AV,268.5040000000736,response,stim_detected,mousedown,269281.8000000003,269279.6000000001,268994.418,268994.8000000003,269011.096,269294.535,,grey
Trial,flow.Sequence,2_0_0,2022-06-27T16:21:35.436Z,,,1,AV,2170.435000000114,completion,,,269282.5,269279.6000000001,267092.492,267095.3000000003,267109.165,269294.535,,grey
Frame,canvas.Frame,2_0,2022-06-27T16:21:35.437Z,,,1,AV,2173.6350000003004,,,,269283.1000000001,269282.8000000003,267092.492,267094.3000000003,267109.165,269294.535,,grey
Fixation,canvas.Screen,2_1_0_0,2022-06-27T16:21:37.568Z,,,0,V,2135.50900000002,timeout,,,271414.6000000001,271413.361,269277.858,269284.7000000002,269294.535,271430.044,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-06-27T16:21:37.668Z,,,0,V,99.01400000002468,timeout,,,271514.3000000003,271512.383,271413.361,271414.8999999999,271430.044,271529.058,,grey
Reaction,canvas.Screen,2_1_0_2,2022-06-27T16:21:37.793Z,,,0,V,108.44199999998091,response,stim_detected,mousedown,271639.7000000002,271637.5,271512.383,271514.8999999999,271529.058,271646.149,,grey
Trial,flow.Sequence,2_1_0,2022-06-27T16:21:37.794Z,,,0,V,2342.9650000000256,completion,,,271640.6000000001,271637.5,269277.858,269284.5,269294.535,271646.149,,grey
Frame,canvas.Frame,2_1,2022-06-27T16:21:37.795Z,,,0,V,2346.3649999999325,,,,271641.2000000002,271640.8999999999,269277.858,269283.3999999999,269294.535,271646.149,,grey
Fixation,canvas.Screen,2_2_0_0,2022-06-27T16:21:39.603Z,,,0,V,1818.521000000008,timeout,,,273449.7000000002,273447.987,271629.471,271642.8000000003,271646.149,273464.67,,grey
Stimulus,canvas.Screen,2_2_0_1,2022-06-27T16:21:39.702Z,,,0,V,99.49900000001071,timeout,,,273548.8000000003,273547.491,273447.987,273449.8999999999,273464.67,273564.169,,grey
Reaction,canvas.Screen,2_2_0_2,2022-06-27T16:21:39.845Z,,,0,V,125.33100000000559,response,stim_detected,mousedown,273691.3999999999,273689.5,273547.491,273549.2000000002,273564.169,273697.551,,grey
Trial,flow.Sequence,2_2_0,2022-06-27T16:21:39.845Z,,,0,V,2043.3510000000242,completion,,,273691.8999999999,273689.5,271629.471,271642.6000000001,271646.149,273697.551,,grey
Frame,canvas.Frame,2_2,2022-06-27T16:21:39.846Z,,,0,V,2045.9510000001173,,,,273692.3999999999,273692.1000000001,271629.471,271641.6000000001,271646.149,273697.551,,grey
Fixation,canvas.Screen,2_3_0_0,2022-06-27T16:21:41.820Z,,,0,V,1984.8340000000317,timeout,,,275666.7000000002,275665.706,273680.874,273693.7000000002,273697.551,275682.385,,grey
Stimulus,canvas.Screen,2_3_0_1,2022-06-27T16:21:41.920Z,,,0,V,99.31699999998091,timeout,,,275766.8000000003,275765.029,275665.706,275667,275682.385,275781.702,,grey
Reaction,canvas.Screen,2_3_0_2,2022-06-27T16:21:42.044Z,,,0,V,106.69799999991665,response,stim_detected,mousedown,275890.3000000003,275888.3999999999,275765.029,275767.1000000001,275781.702,275899.042,,grey
Trial,flow.Sequence,2_3_0,2022-06-27T16:21:42.044Z,,,0,V,2190.848999999929,completion,,,275890.8999999999,275888.3999999999,273680.874,273693.5,273697.551,275899.042,,grey
Frame,canvas.Frame,2_3,2022-06-27T16:21:42.045Z,,,0,V,2193.4490000000224,,,,275891.3000000003,275891,273680.874,273692.6000000001,273697.551,275899.042,,grey
Fixation,canvas.Screen,2_4_0_0,2022-06-27T16:21:43.638Z,,,1,A,1600.7649999999558,timeout,,,277484.8000000003,277483.132,275882.364,275892.7000000002,275899.042,277499.807,,black
Stimulus,canvas.Screen,2_4_0_1,2022-06-27T16:21:43.738Z,,,1,A,100.43600000004517,timeout,,,277584.8999999999,277583.563,277483.132,277485.1000000001,277499.807,277600.243,,black
Reaction,canvas.Screen,2_4_0_2,2022-06-27T16:21:43.859Z,,,1,A,103.25699999998324,response,stim_detected,mousedown,277705.6000000001,277703.5,277583.563,277585.3000000003,277600.243,277716.924,,black
Trial,flow.Sequence,2_4_0,2022-06-27T16:21:43.860Z,,,1,A,1804.4579999999842,completion,,,277706.1000000001,277703.5,275882.364,275892.5,275899.042,277716.924,,black
Frame,canvas.Frame,2_4,2022-06-27T16:21:43.860Z,,,1,A,1807.2580000002636,,,,277706.6000000001,277706.3000000003,275882.364,275891.5,275899.042,277716.924,,black
Fixation,canvas.Screen,2_5_0_0,2022-06-27T16:21:46.090Z,,,1,AV,2235.017999999982,timeout,,,279936.2000000002,279935.263,277700.247,277707.8999999999,277716.924,279951.942,,grey
Stimulus,canvas.Screen,2_5_0_1,2022-06-27T16:21:46.190Z,,,1,AV,99.16899999999441,timeout,,,280036.1000000001,280034.439,279935.263,279936.5,279951.942,280051.111,,grey
Reaction,canvas.Screen,2_5_0_2,2022-06-27T16:21:46.303Z,,,1,AV,96.38900000002468,response,stim_detected,mousedown,280149.6000000001,280147.5,280034.439,280036.3999999999,280051.111,280168.545,,grey
Trial,flow.Sequence,2_5_0,2022-06-27T16:21:46.304Z,,,1,AV,2430.576000000001,completion,,,280150,280147.5,277700.247,277707.8000000003,277716.924,280168.545,,grey
Frame,canvas.Frame,2_5,2022-06-27T16:21:46.304Z,,,1,AV,2433.276000000187,,,,280150.5,280150.2000000002,277700.247,277706.8000000003,277716.924,280168.545,,grey
Fixation,canvas.Screen,2_6_0_0,2022-06-27T16:21:47.842Z,,,1,A,1534.3890000000247,timeout,,,281688.1000000001,281686.256,280135.191,280151.8999999999,280168.545,281702.934,,black
Stimulus,canvas.Screen,2_6_0_1,2022-06-27T16:21:47.941Z,,,1,A,100.04899999999907,timeout,,,281787.1000000001,281785.88,281686.256,281688.8000000003,281702.934,281802.983,,black
Reaction,canvas.Screen,2_6_0_2,2022-06-27T16:21:48.076Z,,,1,A,117.51699999999255,response,stim_detected,mousedown,281922.3999999999,281920.5,281785.88,281787.3999999999,281802.983,281936.407,,black
Trial,flow.Sequence,2_6_0,2022-06-27T16:21:48.076Z,,,1,A,1751.9550000000163,completion,,,281922.8999999999,281920.5,280135.191,280151.8000000003,280168.545,281936.407,,black
Frame,canvas.Frame,2_6,2022-06-27T16:21:48.077Z,,,1,A,1754.5550000001094,,,,281923.3999999999,281923.1000000001,280135.191,280150.7000000002,280168.545,281936.407,,black
Fixation,canvas.Screen,2_7_0_0,2022-06-27T16:21:50.461Z,,,1,A,2386.043000000005,timeout,,,284307.3000000003,284305.765,281919.729,281924.8999999999,281936.407,284322.45,,black
Stimulus,canvas.Screen,2_7_0_1,2022-06-27T16:21:50.560Z,,,1,A,99.01999999996042,timeout,,,284406.3999999999,284404.792,284305.765,284307.7000000002,284322.45,284421.47,,black
Reaction,canvas.Screen,2_7_0_2,2022-06-27T16:21:50.685Z,,,1,A,108.03000000002794,response,stim_detected,mousedown,284531.3000000003,284529.5,284404.792,284406.7000000002,284421.47,284538.155,,black
