sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-06-27T16:09:24.031Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,1379737.931,form submission,,,1381147.1,1381145.7000000002,1391.089,1391.2000000001863,1407.769,1381158.557,{},
Change Background,canvas.Screen,1,2022-06-27T16:09:27.028Z,,,,,2999.7549999998882,timeout,,,1384143.7000000002,1384141.605,1381125.263,1381147.8000000003,1381158.557,1384158.312,,
Fixation,canvas.Screen,2_0_0_0,2022-06-27T16:09:28.783Z,,,0,V,1756.1980000000913,timeout,,,1385899.2000000002,1385897.868,1384141.605,1384145.3000000003,1384158.312,1385914.51,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-06-27T16:09:28.891Z,,,0,V,108.20699999993667,timeout,,,1386007.1,1386006.039,1385897.868,1385899.6,1385914.51,1386022.717,,grey
Reaction,canvas.Screen,2_0_0_2,2022-06-27T16:09:29.232Z,,,0,V,323.4830000002403,response,stim_detected,mousedown,1386348.4,1386346.2000000002,1386006.039,1386007.5,1386022.717,1386356.191,,grey
Trial,flow.Sequence,2_0_0,2022-06-27T16:09:29.233Z,,,0,V,2187.888000000268,completion,,,1386349,1386346.2000000002,1384141.605,1384145.2000000002,1384158.312,1386356.191,,grey
Frame,canvas.Frame,2_0,2022-06-27T16:09:29.234Z,,,0,V,2190.9880000003614,,,,1386349.6,1386349.3000000003,1384141.605,1384144.2000000002,1384158.312,1386356.191,,grey
Fixation,canvas.Screen,2_1_0_0,2022-06-27T16:09:31.027Z,,,0,V,1801.9779999998864,timeout,,,1388143.3000000003,1388141.485,1386339.514,1386351.4,1386356.191,1388158.169,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-06-27T16:09:31.126Z,,,0,V,99.15500000002794,timeout,,,1388242.3000000003,1388240.648,1388141.485,1388143.6,1388158.169,1388257.324,,grey
Reaction,canvas.Screen,2_1_0_2,2022-06-27T16:09:31.420Z,,,0,V,276.8760000001639,response,stim_detected,mousedown,1388536,1388534.2000000002,1388240.648,1388242.8000000003,1388257.324,1388541.082,,grey
