sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-04T16:08:36.262Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,1015946.884,form submission,,,1020057,1020055.3999999999,4091.833,4091.600000000093,4108.516,1020059.758,{},
Change Background,canvas.Screen,1,2022-07-04T16:08:39.252Z,,,,,3002.508999999962,timeout,,,1023047.7999999998,1023045.587,1020043.082,1020057.7000000002,1020059.758,1023062.267,,
Fixation,canvas.Screen,2_0_0_0,2022-07-04T16:08:41.503Z,,,0,V,2251.1149999999907,timeout,,,1025298.5,1025296.705,1023045.587,1023049.2000000002,1023062.267,1025313.382,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-07-04T16:08:41.602Z,,,0,V,100.19000000006054,timeout,,,1025397.3999999999,1025396.454,1025296.705,1025298.7999999998,1025313.382,1025413.572,,grey
Reaction,canvas.Screen,2_0_0_2,2022-07-04T16:08:41.883Z,,,0,V,263.1280000001425,response,stim_detected,mousedown,1025678.6000000001,1025676.7000000002,1025396.454,1025397.7000000002,1025413.572,1025697.081,,grey
Trial,flow.Sequence,2_0_0,2022-07-04T16:08:41.884Z,,,0,V,2614.4330000001937,completion,,,1025679.2999999998,1025676.7000000002,1023045.587,1023049.2000000002,1023062.267,1025697.081,,grey
Frame,canvas.Frame,2_0,2022-07-04T16:08:41.884Z,,,0,V,2617.2330000000075,,,,1025679.8999999999,1025679.5,1023045.587,1023048.1000000001,1023062.267,1025697.081,,grey
Fixation,canvas.Screen,2_1_0_0,2022-07-04T16:08:43.785Z,,,1,A,1899.4370000000345,timeout,,,1027581.1000000001,1027579.854,1025680.404,1025681.1000000001,1025697.081,1027596.518,,black
Stimulus,canvas.Screen,2_1_0_1,2022-07-04T16:08:43.888Z,,,1,A,102.30400000000373,timeout,,,1027683.2000000002,1027682.141,1027579.854,1027581.2999999998,1027596.518,1027698.822,,black
Reaction,canvas.Screen,2_1_0_2,2022-07-04T16:08:44.487Z,,,1,A,581.7780000000494,response,stim_detected,mousedown,1028282.7999999998,1028280.6000000001,1027682.141,1027683.3999999999,1027698.822,1028298.764,,black
Trial,flow.Sequence,2_1_0,2022-07-04T16:08:44.488Z,,,1,A,2583.5190000000875,completion,,,1028283.7999999998,1028280.6000000001,1025680.404,1025681,1025697.081,1028298.764,,black
Frame,canvas.Frame,2_1,2022-07-04T16:08:44.489Z,,,1,A,2586.8189999999013,,,,1028284.2000000002,1028283.8999999999,1025680.404,1025680,1025697.081,1028298.764,,black
Fixation,canvas.Screen,2_2_0_0,2022-07-04T16:08:46.039Z,,,0,V,1551.362000000081,timeout,,,1029834.7999999998,1029833.446,1028282.087,1028285.6000000001,1028298.764,1029850.126,,grey
Stimulus,canvas.Screen,2_2_0_1,2022-07-04T16:08:46.139Z,,,0,V,99.63799999991897,timeout,,,1029934.7000000002,1029933.088,1029833.446,1029835.1000000001,1029850.126,1029949.764,,grey
Reaction,canvas.Screen,2_2_0_2,2022-07-04T16:08:46.402Z,,,0,V,245.83600000012666,response,stim_detected,mousedown,1030197.2000000002,1030195.6000000001,1029933.088,1029935,1029949.764,1030200.11,,grey
Trial,flow.Sequence,2_2_0,2022-07-04T16:08:46.402Z,,,0,V,1896.8360000001267,completion,,,1030197.6000000001,1030195.6000000001,1028282.087,1028285.3999999999,1028298.764,1030200.11,,grey
Frame,canvas.Frame,2_2,2022-07-04T16:08:46.403Z,,,0,V,1899.3360000001267,,,,1030198.2999999998,1030198.1000000001,1028282.087,1028284.5,1028298.764,1030200.11,,grey
Fixation,canvas.Screen,2_3_0_0,2022-07-04T16:08:48.457Z,,,0,V,2068.5019999999786,timeout,,,1032252.7000000002,1032251.931,1030183.432,1030199.7000000002,1030200.11,1032268.612,,grey
Stimulus,canvas.Screen,2_3_0_1,2022-07-04T16:08:48.557Z,,,0,V,99.58600000001024,timeout,,,1032352.7999999998,1032351.521,1032251.931,1032253,1032268.612,1032368.198,,grey
Reaction,canvas.Screen,2_3_0_2,2022-07-04T16:08:48.746Z,,,0,V,172.40200000011828,response,stim_detected,mousedown,1032542.1000000001,1032540.6000000001,1032351.521,1032353,1032368.198,1032568.354,,grey
Trial,flow.Sequence,2_3_0,2022-07-04T16:08:48.747Z,,,0,V,2340.490000000107,completion,,,1032542.5,1032540.6000000001,1030183.432,1030199.5,1030200.11,1032568.354,,grey
Frame,canvas.Frame,2_3,2022-07-04T16:08:48.747Z,,,0,V,2342.490000000107,,,,1032542.7999999998,1032542.6000000001,1030183.432,1030198.5,1030200.11,1032568.354,,grey
Fixation,canvas.Screen,2_4_0_0,2022-07-04T16:08:50.492Z,,,1,AV,1734.6499999999069,timeout,,,1034287.7999999998,1034286.325,1032535,1032544.2000000002,1032568.354,1034303.004,,grey
Stimulus,canvas.Screen,2_4_0_1,2022-07-04T16:08:50.591Z,,,1,AV,99.7390000000596,timeout,,,1034386.8999999999,1034386.067,1034286.325,1034288.2000000002,1034303.004,1034402.743,,grey
Reaction,canvas.Screen,2_4_0_2,2022-07-04T16:08:50.749Z,,,1,AV,139.85700000007637,response,stim_detected,mousedown,1034544.5,1034542.6000000001,1034386.067,1034387.3999999999,1034402.743,1034552.949,,grey
Trial,flow.Sequence,2_4_0,2022-07-04T16:08:50.749Z,,,1,AV,1974.2460000000428,completion,,,1034545.1000000001,1034542.6000000001,1032535,1032544.1000000001,1032568.354,1034552.949,,grey
Frame,canvas.Frame,2_4,2022-07-04T16:08:50.750Z,,,1,AV,1976.846000000136,,,,1034545.5,1034545.2000000002,1032535,1032543,1032568.354,1034552.949,,grey
