sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-04T15:33:25.420Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,113259.98300000005,form submission,,,115045.80000000005,115044.30000000005,1767.638,1772.9000000001397,1784.317,115058.863,{},
Change Background,canvas.Screen,1,2022-07-04T15:33:28.423Z,,,,,3004.9570000000094,timeout,,,118049.20000000019,118047.128,115025.509,115046.5,115058.863,118063.82,,
Fixation,canvas.Screen,2_0_0_0,2022-07-04T15:33:30.450Z,,,0,V,2026.9479999999894,timeout,,,120075.80000000005,120074.115,118047.128,118050.80000000005,118063.82,120090.768,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-07-04T15:33:30.556Z,,,0,V,106.07600000000093,timeout,,,120181.70000000019,120180.167,120074.115,120076.1000000001,120090.768,120196.844,,grey
Reaction,canvas.Screen,2_0_0_2,2022-07-04T15:33:30.835Z,,,0,V,262.1560000000027,response,stim_detected,mousedown,120461.1000000001,120459,120180.167,120182,120196.844,120463.65,,grey
Trial,flow.Sequence,2_0_0,2022-07-04T15:33:30.836Z,,,0,V,2395.179999999993,completion,,,120461.80000000005,120459,118047.128,118050.6000000001,118063.82,120463.65,,grey
Frame,canvas.Frame,2_0,2022-07-04T15:33:30.837Z,,,0,V,2398.5800000001327,,,,120462.90000000014,120462.40000000014,118047.128,118049.6000000001,118063.82,120463.65,,grey
Fixation,canvas.Screen,2_1_0_0,2022-07-04T15:33:32.390Z,,,1,AV,1567.7620000000024,timeout,,,122015.80000000005,122014.734,120446.973,120464.20000000019,120463.65,122031.412,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-07-04T15:33:32.490Z,,,1,AV,100.09300000000803,timeout,,,122116.1000000001,122114.827,122014.734,122016.1000000001,122031.412,122131.505,,grey
Reaction,canvas.Screen,2_1_0_2,2022-07-04T15:33:32.679Z,,,1,AV,171.39500000013504,response,stim_detected,mousedown,122304.80000000005,122302.90000000014,122114.827,122116.6000000001,122131.505,122314.9,,grey
Trial,flow.Sequence,2_1_0,2022-07-04T15:33:32.680Z,,,1,AV,1839.2500000001455,completion,,,122305.90000000014,122302.90000000014,120446.973,120464,120463.65,122314.9,,grey
Frame,canvas.Frame,2_1,2022-07-04T15:33:32.680Z,,,1,AV,1842.550000000192,,,,122306.5,122306.20000000019,120446.973,120463.1000000001,120463.65,122314.9,,grey
Fixation,canvas.Screen,2_2_0_0,2022-07-04T15:33:35.126Z,,,1,AV,2452.5109999999986,timeout,,,124752,124750.728,122298.223,122307.90000000014,122314.9,124767.411,,grey
Stimulus,canvas.Screen,2_2_0_1,2022-07-04T15:33:35.225Z,,,1,AV,98.95800000001327,timeout,,,124851.1000000001,124849.693,124750.728,124752.40000000014,124767.411,124866.369,,grey
Reaction,canvas.Screen,2_2_0_2,2022-07-04T15:33:35.365Z,,,1,AV,122.53100000013364,response,stim_detected,mousedown,124990.90000000014,124988.90000000014,124849.693,124851.40000000014,124866.369,125000.047,,grey
Trial,flow.Sequence,2_2_0,2022-07-04T15:33:35.365Z,,,1,AV,2674.0000000001455,completion,,,124991.5,124988.90000000014,122298.223,122307.70000000019,122314.9,125000.047,,grey
Frame,canvas.Frame,2_2,2022-07-04T15:33:35.366Z,,,1,AV,2676.700000000099,,,,124992,124991.6000000001,122298.223,122306.90000000014,122314.9,125000.047,,grey
Fixation,canvas.Screen,2_3_0_0,2022-07-04T15:33:37.827Z,,,1,AV,2468.0420000000013,timeout,,,127453.1000000001,127451.413,124983.37,124993.20000000019,125000.047,127468.089,,grey
Stimulus,canvas.Screen,2_3_0_1,2022-07-04T15:33:37.927Z,,,1,AV,100.70599999999104,timeout,,,127553.1000000001,127552.115,127451.413,127453.40000000014,127468.089,127568.795,,grey
Reaction,canvas.Screen,2_3_0_2,2022-07-04T15:33:38.068Z,,,1,AV,123.10500000014144,response,stim_detected,mousedown,127694,127691.90000000014,127552.115,127553.40000000014,127568.795,127701.885,,grey
Trial,flow.Sequence,2_3_0,2022-07-04T15:33:38.068Z,,,1,AV,2691.8530000001338,completion,,,127694.5,127691.90000000014,124983.37,124993.1000000001,125000.047,127701.885,,grey
Frame,canvas.Frame,2_3,2022-07-04T15:33:38.069Z,,,1,AV,2694.6530000001803,,,,127694.90000000014,127694.70000000019,124983.37,124992.20000000019,125000.047,127701.885,,grey
Fixation,canvas.Screen,2_4_0_0,2022-07-04T15:33:40.512Z,,,1,A,2452.0020000000077,timeout,,,130138.20000000019,130137.207,127685.208,127696.20000000019,127701.885,130153.887,,black
Stimulus,canvas.Screen,2_4_0_1,2022-07-04T15:33:40.611Z,,,1,A,98.80199999999604,timeout,,,130237.30000000005,130236.017,130137.207,130138.40000000014,130153.887,130252.689,,black
Reaction,canvas.Screen,2_4_0_2,2022-07-04T15:33:40.754Z,,,1,A,125.11100000004808,response,stim_detected,mousedown,130379.80000000005,130377.80000000005,130236.017,130237.6000000001,130252.689,130403.65,,black
Trial,flow.Sequence,2_4_0,2022-07-04T15:33:40.754Z,,,1,A,2675.915000000052,completion,,,130380.40000000014,130377.80000000005,127685.208,127696.1000000001,127701.885,130403.65,,black
Frame,canvas.Frame,2_4,2022-07-04T15:33:40.755Z,,,1,A,2678.7150000000984,,,,130380.80000000005,130380.6000000001,127685.208,127695.20000000019,127701.885,130403.65,,black
