sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-18T15:13:02.684Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,878665.692,form submission,,,886000.1,885993.7000000001,7294.645,7308.3000000000175,7328.008,887512.537,{},
Change Background,canvas.Screen,1,2022-07-18T15:13:07.343Z,,,,,3172.6230000000214,timeout,,,890658.9,890501.427,885294.496,886000.7000000001,887512.537,890685.16,,
Fixation,canvas.Screen,2_0_0_0,2022-07-18T15:13:09.479Z,,,1,AV,2224.777000000002,timeout,,,892795.2999999999,892793.352,890501.427,890686.6,890685.16,892909.937,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-07-18T15:13:09.685Z,,,1,AV,106.44900000002235,timeout,,,893001.1,892999.709,892793.352,892795.6,892909.937,893016.386,,grey
Reaction,canvas.Screen,2_0_0_2,2022-07-18T15:13:10.050Z,,,1,AV,348.31400000001304,response,stim_detected,mousedown,893366.6,893364.7000000001,892999.709,893001.4,893016.386,893383.269,,grey
Trial,flow.Sequence,2_0_0,2022-07-18T15:13:10.051Z,,,1,AV,2679.5400000000373,completion,,,893367.1,893364.7000000001,890501.427,890686.4,890685.16,893383.269,,grey
Frame,canvas.Frame,2_0,2022-07-18T15:13:10.051Z,,,1,AV,2682.1399999998976,,,,893367.7000000001,893367.2999999999,890501.427,890659.4,890685.16,893383.269,,grey
Fixation,canvas.Screen,2_1_0_0,2022-07-18T15:13:12.234Z,,,1,A,2182.2110000000102,timeout,,,895549.7999999999,895548.819,893366.592,893368.9,893383.269,895565.48,,black
Stimulus,canvas.Screen,2_1_0_1,2022-07-18T15:13:12.336Z,,,1,A,102.5570000000298,timeout,,,895652.4999999999,895651.36,895548.819,895549.9999999999,895565.48,895668.037,,black
Reaction,canvas.Screen,2_1_0_2,2022-07-18T15:13:13.015Z,,,1,A,661.6630000000587,response,stim_detected,mousedown,896331.4,896329.7000000001,895651.36,895652.9,895668.037,896401.913,,black
Trial,flow.Sequence,2_1_0,2022-07-18T15:13:13.016Z,,,1,A,2946.4310000000987,completion,,,896332.2000000001,896329.7000000001,893366.592,893368.7999999999,893383.269,896401.913,,black
Frame,canvas.Frame,2_1,2022-07-18T15:13:13.016Z,,,1,A,2949.131000000052,,,,896332.7000000001,896332.4,893366.592,893367.7999999999,893383.269,896401.913,,black
Fixation,canvas.Screen,2_2_0_0,2022-07-18T15:13:15.404Z,,,1,A,2333.100000000093,timeout,,,898719.7000000001,898718.345,896318.528,896333.9999999999,896401.913,898735.013,,black
Stimulus,canvas.Screen,2_2_0_1,2022-07-18T15:13:15.506Z,,,1,A,101.89199999999255,timeout,,,898821.7999999999,898820.227,898718.345,898720.2000000001,898735.013,898836.905,,black
Reaction,canvas.Screen,2_2_0_2,2022-07-18T15:13:15.872Z,,,1,A,348.59499999985565,response,stim_detected,mousedown,899187.9,899185.4999999999,898820.227,898822.2000000001,898836.905,899203.748,,black
Trial,flow.Sequence,2_2_0,2022-07-18T15:13:15.872Z,,,1,A,2783.5869999999413,completion,,,899188.6,899185.4999999999,896318.528,896333.9,896401.913,899203.748,,black
Frame,canvas.Frame,2_2,2022-07-18T15:13:15.873Z,,,1,A,2786.886999999988,,,,899189.1,899188.7999999999,896318.528,896332.9999999999,896401.913,899203.748,,black
Fixation,canvas.Screen,2_3_0_0,2022-07-18T15:13:17.423Z,,,0,V,1550.9710000000196,timeout,,,900739.4999999999,900738.042,899187.071,899190.4999999999,899203.748,900754.719,,grey
Stimulus,canvas.Screen,2_3_0_1,2022-07-18T15:13:17.523Z,,,0,V,100.29099999996834,timeout,,,900839.4999999999,900838.33,900738.042,900739.7999999999,900754.719,900855.01,,grey
Reaction,canvas.Screen,2_3_0_2,2022-07-18T15:13:17.864Z,,,0,V,323.5899999999674,response,stim_detected,mousedown,901180.1,901178.6,900838.33,900839.7000000001,900855.01,901188.447,,grey
Trial,flow.Sequence,2_3_0,2022-07-18T15:13:17.864Z,,,0,V,1974.8519999999553,completion,,,901180.4999999999,901178.6,899187.071,899190.2999999999,899203.748,901188.447,,grey
Frame,canvas.Frame,2_3,2022-07-18T15:13:17.865Z,,,0,V,1976.8519999999553,,,,901180.7999999999,901180.6,899187.071,899189.2999999999,899203.748,901188.447,,grey
Fixation,canvas.Screen,2_4_0_0,2022-07-18T15:13:20.159Z,,,1,AV,2302.021999999997,timeout,,,903475.6,903473.788,901171.77,901182.1,901188.447,903490.469,,grey
Stimulus,canvas.Screen,2_4_0_1,2022-07-18T15:13:20.258Z,,,1,AV,99.42599999997765,timeout,,,903574.7000000001,903573.219,903473.788,903475.9,903490.469,903589.895,,grey
Reaction,canvas.Screen,2_4_0_2,2022-07-18T15:13:20.406Z,,,1,AV,130.7049999999581,response,stim_detected,mousedown,903722.4999999999,903720.6,903573.219,903574.9999999999,903589.895,903740.163,,grey
Trial,flow.Sequence,2_4_0,2022-07-18T15:13:20.407Z,,,1,AV,2532.152999999933,completion,,,903722.9,903720.6,901171.77,901181.9,901188.447,903740.163,,grey
Frame,canvas.Frame,2_4,2022-07-18T15:13:20.407Z,,,1,AV,2534.55299999984,,,,903723.2000000001,903722.9999999999,901171.77,901180.9999999999,901188.447,903740.163,,grey
Fixation,canvas.Screen,2_5_0_0,2022-07-18T15:13:22.661Z,,,0,V,2251.8000000000466,timeout,,,905976.9,905975.283,903723.486,903724.7000000001,903740.163,905991.963,,grey
Stimulus,canvas.Screen,2_5_0_1,2022-07-18T15:13:22.760Z,,,0,V,99.0350000000326,timeout,,,906075.9999999999,906074.326,905975.283,905977.1,905991.963,906090.998,,grey
Reaction,canvas.Screen,2_5_0_2,2022-07-18T15:13:22.971Z,,,0,V,194.40200000000186,response,stim_detected,mousedown,906286.9999999999,906285.4,906074.326,906076.2000000001,906090.998,906308.486,,grey
Trial,flow.Sequence,2_5_0,2022-07-18T15:13:22.971Z,,,0,V,2545.237000000081,completion,,,906287.4999999999,906285.4,903723.486,903724.4,903740.163,906308.486,,grey
Frame,canvas.Frame,2_5,2022-07-18T15:13:22.972Z,,,0,V,2547.636999999988,,,,906287.9,906287.7999999999,903723.486,903723.4,903740.163,906308.486,,grey
