sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-06-03T12:15:23.416Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,44725.26199999702,form submission,,,46185,46183.79999999702,1441.837,1450.199999999255,1458.538,46203.142,{},
Change Background,canvas.Screen,1,2022-06-03T12:15:26.423Z,,,,,3004.2220000000016,timeout,,,49192.099999997765,49190.68,46169.8,46185.699999999255,46203.142,49207.364,,
Fixation,canvas.Screen,2_0_0_0,2022-06-03T12:15:28.254Z,,,1,AV,1830.676999999996,timeout,,,51022.89999999851,51021.377,49190.68,49193.79999999702,49207.364,51038.041,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-06-03T12:15:28.356Z,,,1,AV,103.08000000000175,timeout,,,51125.199999999255,51124.444,51021.377,51023.199999999255,51038.041,51141.121,,grey
Reaction,canvas.Screen,2_0_0_2,2022-06-03T12:15:28.626Z,,,1,AV,251.17899999702058,response,stim_detected,mousedown,51394.599999997765,51392.29999999702,51124.444,51125.29999999702,51141.121,51407.936,,grey
Trial,flow.Sequence,2_0_0,2022-06-03T12:15:28.626Z,,,1,AV,2184.9359999970184,completion,,,51395.099999997765,51392.29999999702,49190.68,49193.599999997765,49207.364,51407.936,,grey
Frame,canvas.Frame,2_0,2022-06-03T12:15:28.627Z,,,1,AV,2188.0359999985085,,,,51395.79999999702,51395.39999999851,49190.68,49192.5,49207.364,51407.936,,grey
Fixation,canvas.Screen,2_1_0_0,2022-06-03T12:15:30.576Z,,,1,A,1952.1549999999988,timeout,,,53344.79999999702,53343.407,51391.26,51397.099999997765,51407.936,53360.091,,black
Stimulus,canvas.Screen,2_1_0_1,2022-06-03T12:15:30.675Z,,,1,A,99.27700000000186,timeout,,,53443.79999999702,53442.691,53343.407,53345.099999997765,53360.091,53459.368,,black
Reaction,canvas.Screen,2_1_0_2,2022-06-03T12:15:30.861Z,,,1,A,168.7319999977626,response,stim_detected,mousedown,53629.599999997765,53628.099999997765,53442.691,53444.29999999702,53459.368,53642.829,,black
Trial,flow.Sequence,2_1_0,2022-06-03T12:15:30.862Z,,,1,A,2220.1639999977633,completion,,,53630.39999999851,53628.099999997765,51391.26,51396.89999999851,51407.936,53642.829,,black
Frame,canvas.Frame,2_1,2022-06-03T12:15:30.862Z,,,1,A,2222.7639999992534,,,,53631,53630.699999999255,51391.26,51396.099999997765,51407.936,53642.829,,black
Fixation,canvas.Screen,2_2_0_0,2022-06-03T12:15:32.692Z,,,1,A,1833.6070000000036,timeout,,,55461.099999997765,55459.766,53626.152,53632.29999999702,53642.829,55476.436,,black
Stimulus,canvas.Screen,2_2_0_1,2022-06-03T12:15:32.793Z,,,1,A,100.98500000000058,timeout,,,55561.89999999851,55560.744,55459.766,55461.39999999851,55476.436,55577.421,,black
Reaction,canvas.Screen,2_2_0_2,2022-06-03T12:15:32.959Z,,,1,A,148.5789999999979,response,stim_detected,mousedown,55727.89999999851,55726,55560.744,55562.199999999255,55577.421,55744.178,,black
Trial,flow.Sequence,2_2_0,2022-06-03T12:15:32.960Z,,,1,A,2083.171000000002,completion,,,55728.5,55726,53626.152,53632.199999999255,53642.829,55744.178,,black
Frame,canvas.Frame,2_2,2022-06-03T12:15:32.960Z,,,1,A,2085.870999999257,,,,55728.89999999851,55728.699999999255,53626.152,53631.29999999702,53642.829,55744.178,,black
