sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-15T15:17:57.390Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":667,""scroll_height"":588,""window_innerWidth"":667,""window_innerHeight"":636,""devicePixelRatio"":1}",,,,451912.7540000001,form submission,,,456194.80000000005,456193.20000000007,4247.084,4257.300000000047,4280.446,456209.253,{},
Change Background,canvas.Screen,1,2022-07-15T15:18:00.390Z,,,,,3001.0389999999898,timeout,,,459195,459193.615,456175.857,456195.5,456209.253,459210.292,,
Fixation,canvas.Screen,2_0_0_0,2022-07-15T15:18:01.958Z,,,1,AV,1567.7099999999627,timeout,,,460762.70000000007,460761.325,459193.615,459196.5,459210.292,460778.002,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-07-15T15:18:02.065Z,,,1,AV,108.09799999999814,timeout,,,460870.1,460869.431,460761.325,460763.1,460778.002,460886.1,,grey
Reaction,canvas.Screen,2_0_0_2,2022-07-15T15:18:02.460Z,,,1,AV,376.5,response,stim_detected,mousedown,461264.6,461262.6,460869.431,460870.30000000005,460886.1,461278.316,,grey
Trial,flow.Sequence,2_0_0,2022-07-15T15:18:02.460Z,,,1,AV,2052.307999999961,completion,,,461265.1,461262.6,459193.615,459196.4,459210.292,461278.316,,grey
Frame,canvas.Frame,2_0,2022-07-15T15:18:02.461Z,,,1,AV,2055.1080000000075,,,,461265.70000000007,461265.4,459193.615,459195.4,459210.292,461278.316,,grey
Fixation,canvas.Screen,2_1_0_0,2022-07-15T15:18:04.376Z,,,0,V,1917.7339999999967,timeout,,,463180.70000000007,463179.374,461261.639,461266.80000000005,461278.316,463196.05,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-07-15T15:18:04.476Z,,,0,V,100.31400000001304,timeout,,,463280.9,463279.685,463179.374,463180.9,463196.05,463296.364,,grey
Reaction,canvas.Screen,2_1_0_2,2022-07-15T15:18:05.002Z,,,0,V,509.1359999999986,response,stim_detected,mousedown,463807.20000000007,463805.5,463279.685,463281.30000000005,463296.364,463813.341,,grey
Trial,flow.Sequence,2_1_0,2022-07-15T15:18:05.003Z,,,0,V,2527.1840000000084,completion,,,463808.1,463805.5,461261.639,461266.70000000007,461278.316,463813.341,,grey
Frame,canvas.Frame,2_1,2022-07-15T15:18:05.004Z,,,0,V,2529.984000000055,,,,463808.6,463808.30000000005,461261.639,461265.9,461278.316,463813.341,,grey
Fixation,canvas.Screen,2_2_0_0,2022-07-15T15:18:06.995Z,,,1,AV,2001.3729999999632,timeout,,,465799.9,465798.036,463796.664,463809.9,463813.341,465814.714,,grey
Stimulus,canvas.Screen,2_2_0_1,2022-07-15T15:18:07.095Z,,,1,AV,99.84600000001956,timeout,,,465899.5,465897.884,465798.036,465800.30000000005,465814.714,465914.56,,grey
Reaction,canvas.Screen,2_2_0_2,2022-07-15T15:18:07.262Z,,,1,AV,150.8400000000256,response,stim_detected,mousedown,466067.1,466065.4,465897.884,465899.70000000007,465914.56,466081.483,,grey
