sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-14T16:06:17.891Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,223934.747,form submission,,,227720.8999999999,227719.5,3768.075,3784,3784.753,227729.335,{},
Change Background,canvas.Screen,1,2022-07-14T16:06:20.891Z,,,,,3005.7550000000047,timeout,,,230720.19999999972,230718.409,227696.051,227721.6000000001,227729.335,230735.09,,
Fixation,canvas.Screen,2_0_0_0,2022-07-14T16:06:22.884Z,,,1,AV,1992.804999999993,timeout,,,232713.2999999998,232711.251,230718.409,230721.19999999972,230735.09,232727.895,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-07-14T16:06:22.991Z,,,1,AV,108.07099999999627,timeout,,,232820.6000000001,232819.289,232711.251,232713.6000000001,232727.895,232835.966,,grey
Reaction,canvas.Screen,2_0_0_2,2022-07-14T16:06:23.213Z,,,1,AV,204.93399999992107,response,stim_detected,mousedown,233042.7999999998,233040.8999999999,232819.289,232820.7999999998,232835.966,233052.828,,grey
Trial,flow.Sequence,2_0_0,2022-07-14T16:06:23.214Z,,,1,AV,2305.8099999999104,completion,,,233043.3999999999,233040.8999999999,230718.409,230721.1000000001,230735.09,233052.828,,grey
Frame,canvas.Frame,2_0,2022-07-14T16:06:23.215Z,,,1,AV,2308.609999999724,,,,233044.1000000001,233043.69999999972,230718.409,230720.3999999999,230735.09,233052.828,,grey
Fixation,canvas.Screen,2_1_0_0,2022-07-14T16:06:25.660Z,,,0,V,2451.1909999999916,timeout,,,235489.2999999998,235487.344,233036.151,233045.19999999972,233052.828,235504.019,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-07-14T16:06:25.760Z,,,0,V,100.50800000000163,timeout,,,235589.69999999972,235587.85,235487.344,235489.6000000001,235504.019,235604.527,,grey
Reaction,canvas.Screen,2_1_0_2,2022-07-14T16:06:25.974Z,,,0,V,197.372999999905,response,stim_detected,mousedown,235803.5,235801.8999999999,235587.85,235590.19999999972,235604.527,235821.359,,grey
Trial,flow.Sequence,2_1_0,2022-07-14T16:06:25.975Z,,,0,V,2749.0719999998983,completion,,,235804.3999999999,235801.8999999999,233036.151,233045,233052.828,235821.359,,grey
Frame,canvas.Frame,2_1,2022-07-14T16:06:25.975Z,,,0,V,2751.6719999999914,,,,235804.8999999999,235804.5,233036.151,233044.2999999998,233052.828,235821.359,,grey
Fixation,canvas.Screen,2_2_0_0,2022-07-14T16:06:27.578Z,,,0,V,1601.3429999999935,timeout,,,237407.2999999998,237406.022,235804.682,235806.19999999972,235821.359,237422.702,,grey
Stimulus,canvas.Screen,2_2_0_1,2022-07-14T16:06:27.678Z,,,0,V,99.47400000001653,timeout,,,237507.2999999998,237505.502,237406.022,237407.5,237422.702,237522.176,,grey
Reaction,canvas.Screen,2_2_0_2,2022-07-14T16:06:27.848Z,,,0,V,153.72399999990012,response,stim_detected,mousedown,237677.5,237675.8999999999,237505.502,237507.6000000001,237522.176,237689.221,,grey
Trial,flow.Sequence,2_2_0,2022-07-14T16:06:27.849Z,,,0,V,1854.5409999999101,completion,,,237678,237675.8999999999,235804.682,235806,235821.359,237689.221,,grey
Frame,canvas.Frame,2_2,2022-07-14T16:06:27.849Z,,,0,V,1856.8409999997239,,,,237678.3999999999,237678.19999999972,235804.682,235805.19999999972,235821.359,237689.221,,grey
Fixation,canvas.Screen,2_3_0_0,2022-07-14T16:06:30.314Z,,,1,AV,2469.5770000000193,timeout,,,240143.2999999998,240142.112,237672.544,237679.5,237689.221,240158.798,,grey
Stimulus,canvas.Screen,2_3_0_1,2022-07-14T16:06:30.413Z,,,1,AV,98.85399999999208,timeout,,,240242.3999999999,240240.975,240142.112,240143.6000000001,240158.798,240257.652,,grey
Reaction,canvas.Screen,2_3_0_2,2022-07-14T16:06:30.544Z,,,1,AV,114.247999999905,response,stim_detected,mousedown,240373.2999999998,240371.8999999999,240240.975,240242.6000000001,240257.652,240391.048,,grey
Trial,flow.Sequence,2_3_0,2022-07-14T16:06:30.544Z,,,1,AV,2682.6789999999164,completion,,,240373.69999999972,240371.8999999999,237672.544,237679.3999999999,237689.221,240391.048,,grey
Frame,canvas.Frame,2_3,2022-07-14T16:06:30.545Z,,,1,AV,2684.5789999998233,,,,240374,240373.7999999998,237672.544,237678.5,237689.221,240391.048,,grey
Fixation,canvas.Screen,2_4_0_0,2022-07-14T16:06:32.464Z,,,1,AV,1917.8649999999907,timeout,,,242293.5,242292.236,240374.371,240375.1000000001,240391.048,242308.913,,grey
Stimulus,canvas.Screen,2_4_0_1,2022-07-14T16:06:32.564Z,,,1,AV,99.99299999998766,timeout,,,242393.3999999999,242392.23,242292.236,242293.69999999972,242308.913,242408.906,,grey
Reaction,canvas.Screen,2_4_0_2,2022-07-14T16:06:32.697Z,,,1,AV,115.89399999982561,response,stim_detected,mousedown,242526.5,242524.7999999998,242392.23,242393.6000000001,242408.906,242542.46,,grey
Trial,flow.Sequence,2_4_0,2022-07-14T16:06:32.697Z,,,1,AV,2133.751999999804,completion,,,242526.8999999999,242524.7999999998,240374.371,240375,240391.048,242542.46,,grey
Frame,canvas.Frame,2_4,2022-07-14T16:06:32.698Z,,,1,AV,2135.95199999999,,,,242527.19999999972,242527,240374.371,240374.19999999972,240391.048,242542.46,,grey
Fixation,canvas.Screen,2_5_0_0,2022-07-14T16:06:34.898Z,,,0,V,2200.8000000000175,timeout,,,244727.6000000001,244726.587,242525.783,242528.2999999998,242542.46,244743.26,,grey
Stimulus,canvas.Screen,2_5_0_1,2022-07-14T16:06:34.999Z,,,0,V,100.35499999998137,timeout,,,244828.5,244826.94,244726.587,244727.8999999999,244743.26,244843.615,,grey
Reaction,canvas.Screen,2_5_0_2,2022-07-14T16:06:35.138Z,,,0,V,122.08499999972992,response,stim_detected,mousedown,244967.19999999972,244965.69999999972,244826.94,244828.7999999998,244843.615,244977.408,,grey
Trial,flow.Sequence,2_5_0,2022-07-14T16:06:35.138Z,,,0,V,2423.2399999997288,completion,,,244967.6000000001,244965.69999999972,242525.783,242528.2999999998,242542.46,244977.408,,grey
Frame,canvas.Frame,2_5,2022-07-14T16:06:35.138Z,,,0,V,2425.339999999822,,,,244968,244967.7999999998,242525.783,242527.2999999998,242542.46,244977.408,,grey
Fixation,canvas.Screen,2_6_0_0,2022-07-14T16:06:36.701Z,,,1,A,1568.1940000000177,timeout,,,246530.6000000001,246528.919,244960.731,244969.1000000001,244977.408,246545.602,,black
Stimulus,canvas.Screen,2_6_0_1,2022-07-14T16:06:36.800Z,,,1,A,99.43799999999464,timeout,,,246629.6000000001,246628.364,246528.919,246531.1000000001,246545.602,246645.04,,black
Reaction,canvas.Screen,2_6_0_2,2022-07-14T16:06:36.941Z,,,1,A,123.65999999971245,response,stim_detected,mousedown,246770.19999999972,246768.69999999972,246628.364,246629.8999999999,246645.04,246778.6,,black
Trial,flow.Sequence,2_6_0,2022-07-14T16:06:36.941Z,,,1,A,1791.2919999997248,completion,,,246770.5,246768.69999999972,244960.731,244969.1000000001,244977.408,246778.6,,black
Frame,canvas.Frame,2_6,2022-07-14T16:06:36.941Z,,,1,A,1793.2919999997248,,,,246770.8999999999,246770.69999999972,244960.731,244968.1000000001,244977.408,246778.6,,black
Fixation,canvas.Screen,2_7_0_0,2022-07-14T16:06:38.768Z,,,1,AV,1834.3489999999874,timeout,,,248597.6000000001,248596.273,246761.923,246772,246778.6,248612.949,,grey
Stimulus,canvas.Screen,2_7_0_1,2022-07-14T16:06:38.868Z,,,1,AV,100.31700000001001,timeout,,,248697.69999999972,248696.587,248596.273,248597.7999999998,248612.949,248713.266,,grey
Reaction,canvas.Screen,2_7_0_2,2022-07-14T16:06:38.999Z,,,1,AV,113.43399999971734,response,stim_detected,mousedown,248828.19999999972,248826.69999999972,248696.587,248698,248713.266,248829.944,,grey
Trial,flow.Sequence,2_7_0,2022-07-14T16:06:38.999Z,,,1,AV,2048.099999999715,completion,,,248828.5,248826.69999999972,246761.923,246771.8999999999,246778.6,248829.944,,grey
Frame,canvas.Frame,2_7,2022-07-14T16:06:38.999Z,,,1,AV,2050.099999999715,,,,248828.8999999999,248828.69999999972,246761.923,246771.1000000001,246778.6,248829.944,,grey
Fixation,canvas.Screen,2_8_0_0,2022-07-14T16:06:41.437Z,,,1,A,2451.680000000022,timeout,,,251266.69999999972,251264.946,248813.267,248830.1000000001,248829.944,251281.624,,black
Stimulus,canvas.Screen,2_8_0_1,2022-07-14T16:06:41.537Z,,,1,A,99.6929999999993,timeout,,,251366,251364.642,251264.946,251267,251281.624,251381.317,,black
Reaction,canvas.Screen,2_8_0_2,2022-07-14T16:06:41.702Z,,,1,A,148.3829999997106,response,stim_detected,mousedown,251531,251529.69999999972,251364.642,251366.3999999999,251381.317,251548.415,,black
Trial,flow.Sequence,2_8_0,2022-07-14T16:06:41.702Z,,,1,A,2699.755999999732,completion,,,251531.5,251529.69999999972,248813.267,248830,248829.944,251548.415,,black
Frame,canvas.Frame,2_8,2022-07-14T16:06:41.702Z,,,1,A,2701.6560000001045,,,,251531.7999999998,251531.6000000001,248813.267,248829.1000000001,248829.944,251548.415,,black
Fixation,canvas.Screen,2_9_0_0,2022-07-14T16:06:43.671Z,,,1,A,1967.356999999989,timeout,,,253500.7999999998,253499.099,251531.738,251532.8999999999,251548.415,253515.772,,black
Stimulus,canvas.Screen,2_9_0_1,2022-07-14T16:06:43.771Z,,,1,A,100.77100000000792,timeout,,,253600.7999999998,253599.864,253499.099,253501.1000000001,253515.772,253616.543,,black
Reaction,canvas.Screen,2_9_0_2,2022-07-14T16:06:43.931Z,,,1,A,142.057000000088,response,stim_detected,mousedown,253760,253758.6000000001,253599.864,253601.1000000001,253616.543,253783.236,,black
Trial,flow.Sequence,2_9_0,2022-07-14T16:06:43.931Z,,,1,A,2210.185000000085,completion,,,253760.3999999999,253758.6000000001,251531.738,251532.8999999999,251548.415,253783.236,,black
