sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-06-30T15:13:30.271Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,983821.735,form submission,,,985343.9999999999,985335.6,1497.189,1505.3999999999942,1513.865,985847.194,{},
Change Background,canvas.Screen,1,2022-06-30T15:13:33.773Z,,,,,3035.866000000038,timeout,,,988846.2999999999,988833.017,985146.76,985344.9,985847.194,988883.06,,
Fixation,canvas.Screen,2_0_0_0,2022-06-30T15:13:35.810Z,,,1,A,2132.1509999999544,timeout,,,990883.4999999999,990881.859,988833.017,988884.1,988883.06,991015.211,,black
Stimulus,canvas.Screen,2_0_0_1,2022-06-30T15:13:36.029Z,,,1,A,252.16500000003725,timeout,,,991102.4,991100.616,990881.859,990883.9,991015.211,991267.376,,black
Reaction,canvas.Screen,2_0_0_2,2022-06-30T15:13:37.598Z,,,1,A,1397.3240000000224,response,stim_detected,mousedown,992671.2000000001,992664.7000000001,991100.616,991102.7999999999,991267.376,992685.079,,black
Trial,flow.Sequence,2_0_0,2022-06-30T15:13:37.599Z,,,1,A,3781.640000000014,completion,,,992671.7999999999,992664.7000000001,988833.017,988883.9999999999,988883.06,992685.079,,black
Frame,canvas.Frame,2_0,2022-06-30T15:13:37.599Z,,,1,A,3788.9399999998277,,,,992672.2999999999,992671.9999999999,988833.017,988846.9,988883.06,992685.079,,black
Fixation,canvas.Screen,2_1_0_0,2022-06-30T15:13:39.547Z,,,1,AV,2000.488000000012,timeout,,,994620.6,994618.875,992668.402,992673.4999999999,992685.079,994685.567,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-06-30T15:13:39.698Z,,,1,AV,100.96100000001024,timeout,,,994771.6,994769.786,994618.875,994620.9,994685.567,994786.528,,grey
Reaction,canvas.Screen,2_1_0_2,2022-06-30T15:13:39.947Z,,,1,AV,232.07199999992736,response,stim_detected,mousedown,995020.4,995018.6,994769.786,994772.1,994786.528,995036.683,,grey
Trial,flow.Sequence,2_1_0,2022-06-30T15:13:39.948Z,,,1,AV,2333.5209999999497,completion,,,995021.2000000001,995018.6,992668.402,992673.4999999999,992685.079,995036.683,,grey
Frame,canvas.Frame,2_1,2022-06-30T15:13:39.948Z,,,1,AV,2336.3209999999963,,,,995021.7999999999,995021.4,992668.402,992672.6,992685.079,995036.683,,grey
Fixation,canvas.Screen,2_2_0_0,2022-06-30T15:13:41.966Z,,,1,AV,2018.8090000000084,timeout,,,997039.7000000001,997038.808,995020.006,995023.4,995036.683,997055.492,,grey
Stimulus,canvas.Screen,2_2_0_1,2022-06-30T15:13:42.066Z,,,1,AV,99.28200000000652,timeout,,,997139.7000000001,997138.097,997038.808,997039.9999999999,997055.492,997154.774,,grey
Reaction,canvas.Screen,2_2_0_2,2022-06-30T15:13:42.238Z,,,1,AV,154.7259999999078,response,stim_detected,mousedown,997311.2999999999,997309.4999999999,997138.097,997139.9999999999,997154.774,997321.548,,grey
Trial,flow.Sequence,2_2_0,2022-06-30T15:13:42.239Z,,,1,AV,2272.8169999999227,completion,,,997311.9,997309.4999999999,995020.006,995023.2000000001,995036.683,997321.548,,grey
Frame,canvas.Frame,2_2,2022-06-30T15:13:42.239Z,,,1,AV,2275.2170000000624,,,,997312.2000000001,997311.9,995020.006,995021.9999999999,995036.683,997321.548,,grey
Fixation,canvas.Screen,2_3_0_0,2022-06-30T15:13:44.467Z,,,1,A,2234.579000000027,timeout,,,999540.6,999539.451,997304.871,997313.6,997321.548,999556.127,,black
Stimulus,canvas.Screen,2_3_0_1,2022-06-30T15:13:44.568Z,,,1,A,99.68000000005122,timeout,,,999640.9,999639.134,999539.451,999540.9,999556.127,999655.807,,black
Reaction,canvas.Screen,2_3_0_2,2022-06-30T15:13:44.702Z,,,1,A,117.69299999985378,response,stim_detected,mousedown,999775.2999999999,999773.4999999999,999639.134,999641.1,999655.807,999889.887,,black
Trial,flow.Sequence,2_3_0,2022-06-30T15:13:44.702Z,,,1,A,2451.951999999932,completion,,,999775.7000000001,999773.4999999999,997304.871,997313.6,997321.548,999889.887,,black
Frame,canvas.Frame,2_3,2022-06-30T15:13:44.703Z,,,1,A,2454.3520000000717,,,,999776.1,999775.9,997304.871,997312.4,997321.548,999889.887,,black
Fixation,canvas.Screen,2_4_0_0,2022-06-30T15:13:47.170Z,,,1,A,2401.3349999999627,timeout,,,1002243.1,1002241.194,999773.148,999777.2999999999,999889.887,1002291.222,,black
Stimulus,canvas.Screen,2_4_0_1,2022-06-30T15:13:47.302Z,,,1,A,100.32000000006519,timeout,,,1002375.4,1002374.864,1002241.194,1002243.4,1002291.222,1002391.542,,black
Reaction,canvas.Screen,2_4_0_2,2022-06-30T15:13:47.796Z,,,1,A,475.85800000000745,response,stim_detected,mousedown,1002869.4,1002867.4,1002374.864,1002375.6,1002391.542,1002875.12,,black
Trial,flow.Sequence,2_4_0,2022-06-30T15:13:47.797Z,,,1,A,2977.5130000000354,completion,,,1002869.9,1002867.4,999773.148,999777.2000000001,999889.887,1002875.12,,black
Frame,canvas.Frame,2_4,2022-06-30T15:13:47.797Z,,,1,A,2980.212999999989,,,,1002870.4,1002870.1,999773.148,999776.2999999999,999889.887,1002875.12,,black
Fixation,canvas.Screen,2_5_0_0,2022-06-30T15:13:50.073Z,,,1,A,2286.569999999949,timeout,,,1005145.9999999999,1005145,1002858.444,1002871.7999999999,1002875.12,1005161.69,,black
Stimulus,canvas.Screen,2_5_0_1,2022-06-30T15:13:50.172Z,,,1,A,98.28400000010151,timeout,,,1005244.9999999999,1005243.298,1005145,1005146.2000000001,1005161.69,1005259.974,,black
Reaction,canvas.Screen,2_5_0_2,2022-06-30T15:13:50.304Z,,,1,A,115.42599999997765,response,stim_detected,mousedown,1005377.2000000001,1005375.4,1005243.298,1005245.2999999999,1005259.974,1005393.54,,black
Trial,flow.Sequence,2_5_0,2022-06-30T15:13:50.304Z,,,1,A,2500.280000000028,completion,,,1005377.6,1005375.4,1002858.444,1002871.6,1002875.12,1005393.54,,black
Frame,canvas.Frame,2_5,2022-06-30T15:13:50.305Z,,,1,A,2502.679999999935,,,,1005378.1,1005377.7999999999,1002858.444,1002870.7000000001,1002875.12,1005393.54,,black
Fixation,canvas.Screen,2_6_0_0,2022-06-30T15:13:52.557Z,,,1,A,2251.984999999986,timeout,,,1007629.9999999999,1007628.844,1005376.863,1005379.2999999999,1005393.54,1007645.525,,black
Stimulus,canvas.Screen,2_6_0_1,2022-06-30T15:13:52.656Z,,,1,A,99.57400000002235,timeout,,,1007729.1,1007728.204,1007628.844,1007630.4999999999,1007645.525,1007745.099,,black
Reaction,canvas.Screen,2_6_0_2,2022-06-30T15:13:52.933Z,,,1,A,259.2009999998845,response,stim_detected,mousedown,1008006.1,1008004.2999999999,1007728.204,1007729.4,1007745.099,1008011.931,,black
Trial,flow.Sequence,2_6_0,2022-06-30T15:13:52.933Z,,,1,A,2610.759999999893,completion,,,1008006.4999999999,1008004.2999999999,1005376.863,1005379.2999999999,1005393.54,1008011.931,,black
Frame,canvas.Frame,2_6,2022-06-30T15:13:52.933Z,,,1,A,2613.0599999999395,,,,1008006.7999999999,1008006.6,1005376.863,1005378.2000000001,1005393.54,1008011.931,,black
Fixation,canvas.Screen,2_7_0_0,2022-06-30T15:13:55.324Z,,,1,AV,2400.527000000002,timeout,,,1010397.1,1010395.787,1007995.254,1008011.1,1008011.931,1010412.458,,grey
