sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-06-24T12:05:25.665Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,725536.4150000002,form submission,,,727137.1000000001,727135.7000000002,1582.612,1586,1599.285,727154.743,{},
Change Background,canvas.Screen,1,2022-06-24T12:05:28.670Z,,,,,3001.7909999999683,timeout,,,730142,730139.858,727121.389,727137.8000000003,727154.743,730156.534,,
Fixation,canvas.Screen,2_0_0_0,2022-06-24T12:05:30.705Z,,,1,AV,2034.951000000001,timeout,,,732176.7000000002,732174.807,730139.858,730143.6000000001,730156.534,732191.485,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-06-24T12:05:30.804Z,,,1,AV,99.87300000002142,timeout,,,732276,732274.681,732174.807,732177.1000000001,732191.485,732291.358,,grey
Reaction,canvas.Screen,2_0_0_2,2022-06-24T12:05:31.150Z,,,1,AV,328.8420000001788,response,stim_detected,mousedown,732622.2000000002,732620.2000000002,732274.681,732276.1000000001,732291.358,732625.002,,grey
Trial,flow.Sequence,2_0_0,2022-06-24T12:05:31.151Z,,,1,AV,2463.666000000201,completion,,,732623,732620.2000000002,730139.858,730143.6000000001,730156.534,732625.002,,grey
Frame,canvas.Frame,2_0,2022-06-24T12:05:31.152Z,,,1,AV,2466.666000000201,,,,732623.7000000002,732623.2000000002,730139.858,730142.6000000001,730156.534,732625.002,,grey
Fixation,canvas.Screen,2_1_0_0,2022-06-24T12:05:32.839Z,,,0,V,1700.701000000001,timeout,,,734310.8000000003,734309.029,732608.325,732625,732625.002,734325.703,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-06-24T12:05:32.939Z,,,0,V,100.63300000003073,timeout,,,734410.7000000002,734409.656,734309.029,734311.2000000002,734325.703,734426.336,,grey
Reaction,canvas.Screen,2_1_0_2,2022-06-24T12:05:33.306Z,,,0,V,349.864000000176,response,stim_detected,mousedown,734777.8000000003,734776.2000000002,734409.656,734411.2000000002,734426.336,734793.174,,grey
Trial,flow.Sequence,2_1_0,2022-06-24T12:05:33.306Z,,,0,V,2151.1980000002077,completion,,,734778.6000000001,734776.2000000002,732608.325,732624.9000000004,732625.002,734793.174,,grey
Frame,canvas.Frame,2_1,2022-06-24T12:05:33.307Z,,,0,V,2153.798000000301,,,,734779.1000000001,734778.8000000003,732608.325,732624,732625.002,734793.174,,grey
Fixation,canvas.Screen,2_2_0_0,2022-06-24T12:05:35.623Z,,,1,A,2317.1119999999646,timeout,,,737094.9000000004,737093.615,734776.497,734780.7000000002,734793.174,737110.286,,black
Stimulus,canvas.Screen,2_2_0_1,2022-06-24T12:05:35.724Z,,,1,A,101.04399999999441,timeout,,,737195.9000000004,737194.653,737093.615,737095.2000000002,737110.286,737211.33,,black
