sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-01T11:47:00.373Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":795,""scroll_height"":568,""window_innerWidth"":795,""window_innerHeight"":616,""devicePixelRatio"":1}",,,,593957.804,form submission,,,597954.2000000001,597953.3,3945.472,3957.1999999999825,3995.496,597979.332,{},
Change Background,canvas.Screen,1,2022-07-01T11:47:03.383Z,,,,,3000.350999999908,timeout,,,600964.3,600963.007,597962.628,597954.6,597979.332,600979.683,,
Fixation,canvas.Screen,2_0_0_0,2022-07-01T11:47:05.158Z,,,0,V,1774.9440000000177,timeout,,,602738.9,602737.992,600963.007,600966,600979.683,602754.627,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-07-01T11:47:05.251Z,,,0,V,93.02000000001863,timeout,,,602832.3,602830.97,602737.992,602739.1,602754.627,602847.647,,grey
Reaction,canvas.Screen,2_0_0_2,2022-07-01T11:47:05.487Z,,,0,V,218.3530000000028,response,stim_detected,mousedown,603067.3,603066,602830.97,602832.8,602847.647,603078.367,,grey
Trial,flow.Sequence,2_0_0,2022-07-01T11:47:05.487Z,,,0,V,2086.317000000039,completion,,,603067.7000000001,603066,600963.007,600966,600979.683,603078.367,,grey
Frame,canvas.Frame,2_0,2022-07-01T11:47:05.487Z,,,0,V,2088.1170000000857,,,,603068,603067.8,600963.007,600964.6,600979.683,603078.367,,grey
Fixation,canvas.Screen,2_1_0_0,2022-07-01T11:47:07.510Z,,,1,AV,2028.3360000000102,timeout,,,605091.1,605090.034,603061.847,603069.3,603078.367,605106.703,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-07-01T11:47:07.603Z,,,1,AV,92.57099999999627,timeout,,,605183.7000000001,605182.587,605090.034,605091.5,605106.703,605199.274,,grey
Reaction,canvas.Screen,2_1_0_2,2022-07-01T11:47:07.863Z,,,1,AV,243.32600000000093,response,stim_detected,mousedown,605444.3,605442.6,605182.587,605183.9,605199.274,605449.342,,grey
Trial,flow.Sequence,2_1_0,2022-07-01T11:47:07.864Z,,,1,AV,2364.2330000000075,completion,,,605445.2000000001,605442.6,603061.847,603069.1,603078.367,605449.342,,grey
