sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-06-10T16:09:04.055Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.115 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,94103.34899999962,form submission,,,98573.5,98572.09999999963,4452.072,4462.199999999721,4468.751,98581.412,{},
Change Background,canvas.Screen,1,2022-06-10T16:09:07.050Z,,,,,3001.5580000000045,timeout,,,101568.5,101566.292,98548.038,98574.19999999972,98581.412,101582.97,,
Fixation,canvas.Screen,2_0_0_0,2022-06-10T16:09:08.627Z,,,0,V,1577.8179999999993,timeout,,,103145.5,103144.141,101566.292,101570.09999999963,101582.97,103160.788,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-06-10T16:09:08.734Z,,,0,V,106.49099999999453,timeout,,,103252.29999999981,103250.602,103144.141,103145.8999999999,103160.788,103267.279,,grey
Reaction,canvas.Screen,2_0_0_2,2022-06-10T16:09:09.047Z,,,0,V,295.8209999996325,response,stim_detected,mousedown,103565.19999999972,103563.09999999963,103250.602,103252.69999999972,103267.279,103567.515,,grey
Trial,flow.Sequence,2_0_0,2022-06-10T16:09:09.047Z,,,0,V,1980.1299999996263,completion,,,103565.8999999999,103563.09999999963,101566.292,101570,101582.97,103567.515,,grey
Frame,canvas.Frame,2_0,2022-06-10T16:09:09.048Z,,,0,V,1983.2299999997194,,,,103566.59999999963,103566.19999999972,101566.292,101569,101582.97,103567.515,,grey
Fixation,canvas.Screen,2_1_0_0,2022-06-10T16:09:11.253Z,,,0,V,2219.395000000004,timeout,,,105771.3999999999,105770.224,103550.838,103568,103567.515,105786.91,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-06-10T16:09:11.351Z,,,0,V,98.82099999999627,timeout,,,105869.79999999981,105869.054,105770.224,105771.69999999972,105786.91,105885.731,,grey
Reaction,canvas.Screen,2_1_0_2,2022-06-10T16:09:11.502Z,,,0,V,133.3689999996277,response,stim_detected,mousedown,106020.79999999981,106019.09999999963,105869.054,105870.09999999963,105885.731,106035.791,,grey
Trial,flow.Sequence,2_1_0,2022-06-10T16:09:11.503Z,,,0,V,2451.584999999628,completion,,,106021.8999999999,106019.09999999963,103550.838,103567.8999999999,103567.515,106035.791,,grey
Frame,canvas.Frame,2_1,2022-06-10T16:09:11.504Z,,,0,V,2454.4850000000006,,,,106022.5,106022,103550.838,103566.79999999981,103567.515,106035.791,,grey
Fixation,canvas.Screen,2_2_0_0,2022-06-10T16:09:13.371Z,,,1,A,1869.3439999999973,timeout,,,107889.69999999972,107888.446,106019.115,106024,106035.791,107905.135,,black
Stimulus,canvas.Screen,2_2_0_1,2022-06-10T16:09:13.469Z,,,1,A,98.72200000000885,timeout,,,107988,107987.179,107888.446,107890.19999999972,107905.135,108003.857,,black
Reaction,canvas.Screen,2_2_0_2,2022-06-10T16:09:13.723Z,,,1,A,236.342999999717,response,stim_detected,mousedown,108242,108240.19999999972,107987.179,107988,108003.857,108253.93,,black
Trial,flow.Sequence,2_2_0,2022-06-10T16:09:13.724Z,,,1,A,2204.408999999723,completion,,,108242.5,108240.19999999972,106019.115,106023.79999999981,106035.791,108253.93,,black
Frame,canvas.Frame,2_2,2022-06-10T16:09:13.724Z,,,1,A,2207.0089999998163,,,,108243,108242.79999999981,106019.115,106022.79999999981,106035.791,108253.93,,black
Fixation,canvas.Screen,2_3_0_0,2022-06-10T16:09:15.404Z,,,1,AV,1684.5560000000114,timeout,,,109922.5,109921.173,108237.254,108244.59999999963,108253.93,109938.486,,grey
Stimulus,canvas.Screen,2_3_0_1,2022-06-10T16:09:15.505Z,,,1,AV,100.07399999999325,timeout,,,110023.5,110021.881,109921.173,109922.79999999981,109938.486,110038.56,,grey
Reaction,canvas.Screen,2_3_0_2,2022-06-10T16:09:15.667Z,,,1,AV,145.44000000000233,response,stim_detected,mousedown,110185.69999999972,110184,110021.881,110023.8999999999,110038.56,110188.598,,grey
Trial,flow.Sequence,2_3_0,2022-06-10T16:09:15.668Z,,,1,AV,1930.070000000007,completion,,,110186.19999999972,110184,108237.254,108244.5,108253.93,110188.598,,grey
Frame,canvas.Frame,2_3,2022-06-10T16:09:15.668Z,,,1,AV,1932.4699999999139,,,,110186.69999999972,110186.3999999999,108237.254,108243.29999999981,108253.93,110188.598,,grey
Fixation,canvas.Screen,2_4_0_0,2022-06-10T16:09:18.056Z,,,0,V,2401.646999999997,timeout,,,112574.79999999981,112573.567,110171.921,110188.3999999999,110188.598,112590.245,,grey
Stimulus,canvas.Screen,2_4_0_1,2022-06-10T16:09:18.156Z,,,0,V,100.12300000000687,timeout,,,112674.79999999981,112673.689,112573.567,112575.09999999963,112590.245,112690.368,,grey
Reaction,canvas.Screen,2_4_0_2,2022-06-10T16:09:18.303Z,,,0,V,129.6319999999978,response,stim_detected,mousedown,112821.8999999999,112820,112673.689,112675.09999999963,112690.368,112823.658,,grey
Trial,flow.Sequence,2_4_0,2022-06-10T16:09:18.304Z,,,0,V,2631.402000000002,completion,,,112822.5,112820,110171.921,110188.19999999972,110188.598,112823.658,,grey
Frame,canvas.Frame,2_4,2022-06-10T16:09:18.304Z,,,0,V,2634.1019999997225,,,,112823,112822.69999999972,110171.921,110187.09999999963,110188.598,112823.658,,grey
Fixation,canvas.Screen,2_5_0_0,2022-06-10T16:09:20.574Z,,,1,A,2284.752999999997,timeout,,,115092.79999999981,115091.734,112806.981,112824.69999999972,112823.658,115108.411,,black
Stimulus,canvas.Screen,2_5_0_1,2022-06-10T16:09:20.675Z,,,1,A,100.25400000000081,timeout,,,115193.79999999981,115191.986,115091.734,115093.09999999963,115108.411,115208.665,,black
