sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-06-03T12:49:51.515Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,46446.00300000298,form submission,,,48045.5,48044.20000000298,1581.521,1589.800000000745,1598.197,48062.2,{},
Change Background,canvas.Screen,1,2022-06-03T12:49:54.519Z,,,,,3002.5120000000024,timeout,,,51050.10000000149,51048.029,48028.842,48046.20000000298,48062.2,51064.712,,
Fixation,canvas.Screen,2_0_0_0,2022-06-03T12:49:56.735Z,,,1,AV,2215.868999999999,timeout,,,53265.900000002235,53263.91,51048.029,51051.5,51064.712,53280.581,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-06-03T12:49:56.835Z,,,1,AV,101.4780000000028,timeout,,,53366,53365.383,53263.91,53266.300000000745,53280.581,53382.059,,grey
Reaction,canvas.Screen,2_0_0_2,2022-06-03T12:49:56.998Z,,,1,AV,144.24100000074395,response,stim_detected,mousedown,53528.5,53526.300000000745,53365.383,53366.10000000149,53382.059,53532.286,,grey
Trial,flow.Sequence,2_0_0,2022-06-03T12:49:56.999Z,,,1,AV,2461.5880000007455,completion,,,53529.300000000745,53526.300000000745,51048.029,51051.400000002235,51064.712,53532.286,,grey
Frame,canvas.Frame,2_0,2022-06-03T12:49:56.999Z,,,1,AV,2464.8880000014906,,,,53530,53529.60000000149,51048.029,51050.400000002235,51064.712,53532.286,,grey
Fixation,canvas.Screen,2_1_0_0,2022-06-03T12:49:58.737Z,,,1,A,1751.201000000001,timeout,,,55267.800000000745,55266.22,53515.609,53531.300000000745,53532.286,55283.487,,black
Stimulus,canvas.Screen,2_1_0_1,2022-06-03T12:49:58.838Z,,,1,A,100.08599999999569,timeout,,,55368.800000000745,55366.892,55266.22,55268.20000000298,55283.487,55383.573,,black
Reaction,canvas.Screen,2_1_0_2,2022-06-03T12:49:59.023Z,,,1,A,168.02700000149343,response,stim_detected,mousedown,55553.400000002235,55551.60000000149,55366.892,55369.300000000745,55383.573,55566.996,,black
Trial,flow.Sequence,2_1_0,2022-06-03T12:49:59.024Z,,,1,A,2019.31400000149,completion,,,55554.400000002235,55551.60000000149,53515.609,53531.300000000745,53532.286,55566.996,,black
Frame,canvas.Frame,2_1,2022-06-03T12:49:59.024Z,,,1,A,2022.31400000149,,,,55555,55554.60000000149,53515.609,53530.300000000745,53532.286,55566.996,,black
Fixation,canvas.Screen,2_2_0_0,2022-06-03T12:50:00.839Z,,,1,AV,1817.5509999999995,timeout,,,57370,57367.872,55550.319,55557.10000000149,55566.996,57384.547,,grey
Stimulus,canvas.Screen,2_2_0_1,2022-06-03T12:50:00.939Z,,,1,AV,100.45900000000256,timeout,,,57469.900000002235,57468.328,57367.872,57370.300000000745,57384.547,57485.006,,grey
Reaction,canvas.Screen,2_2_0_2,2022-06-03T12:50:01.075Z,,,1,AV,119.29400000074384,response,stim_detected,mousedown,57606,57604.300000000745,57468.328,57470.300000000745,57485.006,57618.331,,grey
Trial,flow.Sequence,2_2_0,2022-06-03T12:50:01.076Z,,,1,AV,2037.3040000007459,completion,,,57606.70000000298,57604.300000000745,55550.319,55556.900000002235,55566.996,57618.331,,grey
Frame,canvas.Frame,2_2,2022-06-03T12:50:01.076Z,,,1,AV,2039.904000002236,,,,57607.20000000298,57606.900000002235,55550.319,55555.400000002235,55566.996,57618.331,,grey
Fixation,canvas.Screen,2_3_0_0,2022-06-03T12:50:03.572Z,,,1,AV,2500.096000000005,timeout,,,60103.10000000149,60101.759,57601.654,57609.20000000298,57618.331,60118.427,,grey
Stimulus,canvas.Screen,2_3_0_1,2022-06-03T12:50:03.674Z,,,1,AV,101.69399999999587,timeout,,,60204.60000000149,60203.437,60101.759,60103.400000002235,60118.427,60220.121,,grey
Reaction,canvas.Screen,2_3_0_2,2022-06-03T12:50:03.786Z,,,1,AV,95.07900000298105,response,stim_detected,mousedown,60317,60315.20000000298,60203.437,60204.800000000745,60220.121,60320.052,,grey
