sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-14T15:43:04.140Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":667,""scroll_height"":588,""window_innerWidth"":667,""window_innerHeight"":636,""devicePixelRatio"":1}",,,,1728742.1270000003,form submission,,,1734701.3000000003,1734694.8000000003,5919.315,5931.699999999953,5952.673,1735318.366,{},
Change Background,canvas.Screen,1,2022-07-14T15:43:07.768Z,,,,,3035.6130000001285,timeout,,,1738329.5,1738303.939,1734317.686,1734702.3000000003,1735318.366,1738353.979,,
Fixation,canvas.Screen,2_0_0_0,2022-07-14T15:43:10.186Z,,,1,A,2508.686999999918,timeout,,,1740746.8000000003,1740745.577,1738303.939,1738348.9,1738353.979,1740862.666,,black
Stimulus,canvas.Screen,2_0_0_1,2022-07-14T15:43:10.395Z,,,1,A,109.23399999993853,timeout,,,1740956.7000000002,1740955.224,1740745.577,1740747,1740862.666,1740971.9,,black
Reaction,canvas.Screen,2_0_0_2,2022-07-14T15:43:11.227Z,,,1,A,811.1000000000931,response,stim_detected,mousedown,1741788.5,1741783,1740955.224,1740956.9,1740971.9,1741805.931,,black
Trial,flow.Sequence,2_0_0,2022-07-14T15:43:11.228Z,,,1,A,3429.0209999999497,completion,,,1741789.3000000003,1741783,1738303.939,1738348.8000000003,1738353.979,1741805.931,,black
Frame,canvas.Frame,2_0,2022-07-14T15:43:11.229Z,,,1,A,3435.5209999999497,,,,1741789.9,1741789.5,1738303.939,1738330.1,1738353.979,1741805.931,,black
Fixation,canvas.Screen,2_1_0_0,2022-07-14T15:43:13.663Z,,,1,A,2432.653999999864,timeout,,,1744223.9,1744221.919,1741789.254,1741791.4,1741805.931,1744238.585,,black
Stimulus,canvas.Screen,2_1_0_1,2022-07-14T15:43:13.765Z,,,1,A,102.2949999999255,timeout,,,1744326.1,1744324.203,1744221.919,1744224.1,1744238.585,1744340.88,,black
Reaction,canvas.Screen,2_1_0_2,2022-07-14T15:43:13.970Z,,,1,A,187.92000000039116,response,stim_detected,mousedown,1744530.7000000002,1744528.8000000003,1744324.203,1744326.6,1744340.88,1744541.083,,black
Trial,flow.Sequence,2_1_0,2022-07-14T15:43:13.970Z,,,1,A,2722.8690000001807,completion,,,1744531.6,1744528.8000000003,1741789.254,1741791.3000000003,1741805.931,1744541.083,,black
Frame,canvas.Frame,2_1,2022-07-14T15:43:13.971Z,,,1,A,2725.8690000001807,,,,1744532.1,1744531.8000000003,1741789.254,1741790.3000000003,1741805.931,1744541.083,,black
Fixation,canvas.Screen,2_2_0_0,2022-07-14T15:43:15.550Z,,,1,A,1584.7419999998529,timeout,,,1746110.9,1746109.144,1744524.406,1744533.4,1744541.083,1746125.825,,black
Stimulus,canvas.Screen,2_2_0_1,2022-07-14T15:43:16.040Z,,,1,A,466.42700000014156,timeout,,,1746601.2000000002,1746600.6,1746109.144,1746111.3000000003,1746125.825,1746592.252,,black
Reaction,canvas.Screen,2_2_0_2,2022-07-14T15:43:17.517Z,,,1,A,1567.8239999997895,timeout,,,1748078.1,1748076.691,1746600.6,1746601.6,1746592.252,1748160.076,,black
Trial,flow.Sequence,2_2_0,2022-07-14T15:43:17.517Z,,,1,A,3535.6080000000075,completion,,,1748078.6,1748076.691,1744524.406,1744533.4,1744541.083,1748160.076,,black
Frame,canvas.Frame,2_2,2022-07-14T15:43:17.518Z,,,1,A,3537.717000000179,,,,1748079,1748078.8000000003,1744524.406,1744532.4,1744541.083,1748176.753,,black
Fixation,canvas.Screen,2_3_0_0,2022-07-14T15:43:19.769Z,,,0,V,2168.1099999998696,timeout,,,1750329.9,1750328.186,1748160.076,1748080.1,1748176.753,1750344.863,,grey
