sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-06-10T15:40:31.904Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.115 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":795,""scroll_height"":568,""window_innerWidth"":795,""window_innerHeight"":616,""devicePixelRatio"":1}",,,,1209702.3769999999,form submission,,,1213822.9,1213814.2,4061.79,4066.0999999999767,4111.823,1214369.969,{},
Change Background,canvas.Screen,1,2022-06-10T15:40:35.497Z,,,,,3066.7689999998547,timeout,,,1217416.6,1217353.438,1213669.703,1213823.7,1214369.969,1217436.738,,
Fixation,canvas.Screen,2_0_0_0,2022-06-10T15:40:37.586Z,,,1,AV,2200.693000000203,timeout,,,1219505.4,1219504.103,1217353.438,1217445.8,1217436.738,1219637.431,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-06-10T15:40:37.806Z,,,1,AV,203.01599999982864,timeout,,,1219725.3,1219723.715,1219504.103,1219505.8,1219637.431,1219840.447,,grey
Reaction,canvas.Screen,2_0_0_2,2022-06-10T15:40:38.119Z,,,1,AV,192.4529999999795,response,stim_detected,mousedown,1220038.6,1220032.9,1219723.715,1219725.5,1219840.447,1220057.39,,grey
Trial,flow.Sequence,2_0_0,2022-06-10T15:40:38.120Z,,,1,AV,2596.162000000011,completion,,,1220039.3,1220032.9,1217353.438,1217445.7,1217436.738,1220057.39,,grey
Frame,canvas.Frame,2_0,2022-06-10T15:40:38.121Z,,,1,AV,2602.7620000001043,,,,1220039.9,1220039.5,1217353.438,1217417,1217436.738,1220057.39,,grey
Fixation,canvas.Screen,2_1_0_0,2022-06-10T15:40:39.807Z,,,1,AV,1733.9150000000373,timeout,,,1221726,1221724.613,1220024.036,1220041.1,1220057.39,1221791.305,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-06-10T15:40:39.957Z,,,1,AV,100.73200000007637,timeout,,,1221876.4,1221875.358,1221724.613,1221726.1,1221791.305,1221892.037,,grey
Reaction,canvas.Screen,2_1_0_2,2022-06-10T15:40:40.187Z,,,1,AV,212.66299999994226,response,stim_detected,mousedown,1222106.4,1222104.7,1221875.358,1221877,1221892.037,1222108.737,,grey
