sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-01T12:00:55.837Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":795,""scroll_height"":568,""window_innerWidth"":795,""window_innerHeight"":616,""devicePixelRatio"":1}",,,,98635.88999999991,form submission,,,102513,102511.3999999999,3858.827,3865.1999999999534,3875.51,102522.307,{},
Change Background,canvas.Screen,1,2022-07-01T12:00:58.832Z,,,,,3000.3919999999925,timeout,,,105507.3999999999,105506.035,102488.953,102513.69999999995,102522.307,105522.699,,
Fixation,canvas.Screen,2_0_0_0,2022-07-01T12:01:01.152Z,,,1,A,2320.2690000000002,timeout,,,107828.09999999986,107826.287,105506.035,105509.09999999986,105522.699,107842.968,,black
Stimulus,canvas.Screen,2_0_0_1,2022-07-01T12:01:01.251Z,,,1,A,99.57900000001246,timeout,,,107926.30000000005,107925.87,107826.287,107828.5,107842.968,107942.547,,black
Reaction,canvas.Screen,2_0_0_2,2022-07-01T12:01:01.989Z,,,1,A,715.3529999999009,response,stim_detected,mousedown,108665,108657.8999999999,107925.87,107926.3999999999,107942.547,108676.247,,black
Trial,flow.Sequence,2_0_0,2022-07-01T12:01:01.990Z,,,1,A,3135.2009999999136,completion,,,108665.80000000005,108657.8999999999,105506.035,105509,105522.699,108676.247,,black
Frame,canvas.Frame,2_0,2022-07-01T12:01:01.991Z,,,1,A,3143.50099999996,,,,108666.59999999986,108666.19999999995,105506.035,105508,105522.699,108676.247,,black
Fixation,canvas.Screen,2_1_0_0,2022-07-01T12:01:04.370Z,,,0,V,2383.9419999999955,timeout,,,111045.3999999999,111043.517,108659.571,108667.8999999999,108676.247,111060.189,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-07-01T12:01:04.471Z,,,0,V,101.15700000000652,timeout,,,111146.3999999999,111144.668,111043.517,111045.69999999995,111060.189,111161.346,,grey
Reaction,canvas.Screen,2_1_0_2,2022-07-01T12:01:04.898Z,,,0,V,410.55399999990186,response,stim_detected,mousedown,111573.69999999995,111571.8999999999,111144.668,111147,111161.346,111578.181,,grey
Trial,flow.Sequence,2_1_0,2022-07-01T12:01:04.899Z,,,0,V,2895.652999999904,completion,,,111574.80000000005,111571.8999999999,108659.571,108667.80000000005,108676.247,111578.181,,grey
Frame,canvas.Frame,2_1,2022-07-01T12:01:04.900Z,,,0,V,2898.752999999997,,,,111575.3999999999,111575,108659.571,108666.8999999999,108676.247,111578.181,,grey
Fixation,canvas.Screen,2_2_0_0,2022-07-01T12:01:06.906Z,,,1,AV,2018.7679999999964,timeout,,,113582.19999999995,113580.266,111561.504,111576.8999999999,111578.181,113596.949,,grey
Stimulus,canvas.Screen,2_2_0_1,2022-07-01T12:01:07.005Z,,,1,AV,99.20300000000861,timeout,,,113681.30000000005,113679.476,113580.266,113582.5,113596.949,113696.152,,grey
