sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Instructions,html.Page,0,2022-07-01T11:53:27.526Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":795,""scroll_height"":568,""window_innerWidth"":795,""window_innerHeight"":616,""devicePixelRatio"":1}",,,,51199.309,form submission,,,52719.30000000005,52718,1502.01,1501.6999999999534,1518.691,52735.164,{},
Change Background,canvas.Screen,1,2022-07-01T11:53:30.528Z,,,,,3001.8700000000026,timeout,,,55721.80000000005,55720.356,52701.802,52720.19999999995,52735.164,55737.034,,
Fixation,canvas.Screen,2_0_0_0,2022-07-01T11:53:32.164Z,,,1,AV,1635.3729999999996,timeout,,,57357.5,57355.725,55720.356,55722.5,55737.034,57372.407,,grey
Stimulus,canvas.Screen,2_0_0_1,2022-07-01T11:53:32.262Z,,,1,AV,98.88199999999779,timeout,,,57455.60000000009,57454.613,57355.725,57357.89999999991,57372.407,57471.289,,grey
Reaction,canvas.Screen,2_0_0_2,2022-07-01T11:53:32.595Z,,,1,AV,314.4109999999564,response,stim_detected,mousedown,57788.30000000005,57785.69999999995,57454.613,57455.80000000005,57471.289,57821.583,,grey
Trial,flow.Sequence,2_0_0,2022-07-01T11:53:32.595Z,,,1,AV,2048.665999999954,completion,,,57789.10000000009,57785.69999999995,55720.356,55722.5,55737.034,57821.583,,grey
Frame,canvas.Frame,2_0,2022-07-01T11:53:32.596Z,,,1,AV,2052.365999999907,,,,57789.80000000005,57789.39999999991,55720.356,55722.10000000009,55737.034,57821.583,,grey
Fixation,canvas.Screen,2_1_0_0,2022-07-01T11:53:34.899Z,,,0,V,2285.6589999999997,timeout,,,60093,60090.559,57788.229,57791.10000000009,57821.583,60107.242,,grey
Stimulus,canvas.Screen,2_1_0_1,2022-07-01T11:53:34.998Z,,,0,V,98.93100000000413,timeout,,,60191.60000000009,60189.498,60090.559,60093.30000000005,60107.242,60206.173,,grey
Reaction,canvas.Screen,2_1_0_2,2022-07-01T11:53:35.436Z,,,0,V,421.02699999995093,response,stim_detected,mousedown,60628.19999999995,60627.19999999995,60189.498,60192,60206.173,60640.09,,grey
Trial,flow.Sequence,2_1_0,2022-07-01T11:53:35.436Z,,,0,V,2805.6169999999547,completion,,,60628.39999999991,60627.19999999995,57788.229,57791,57821.583,60640.09,,grey
Frame,canvas.Frame,2_1,2022-07-01T11:53:35.436Z,,,0,V,2807.0170000000944,,,,60628.60000000009,60628.60000000009,57788.229,57790,57821.583,60640.09,,grey
Fixation,canvas.Screen,2_2_0_0,2022-07-01T11:53:37.601Z,,,0,V,2168.806000000004,timeout,,,62793.5,62792.213,60623.413,60629.10000000009,60640.09,62808.896,,grey
